Source,Target,interaction_type,value
MazinX,MazinX,ADDED,2
Legobot,Legobot,ADDED,1
GPUBot,GPUBot,ADDED,1
콩가루,콩가루,ADDED,2
Steenthbot,Steenthbot,ADDED,1
Danrok,Danrok,ADDED,1
Thibaut120094,Thibaut120094,ADDED,2
Infovarius,Infovarius,ADDED,1
Edoardo88,Edoardo88,ADDED,3
Pasleim,Pasleim,ADDED,1
Mbch331,Mbch331,ADDED,1
Firippu-san,Firippu-san,ADDED,2
Bradipo Lento,Bradipo Lento,ADDED,2
Edgars2007,Edgars2007,ADDED,1
Thierry Caro,Thierry Caro,ADDED,2
KasparBot,KasparBot,ADDED,1
Pigsonthewing-bot,Pigsonthewing-bot,ADDED,1
PearlieGirl,PearlieGirl,ADDED,1
EdgarsBot,EdgarsBot,ADDED,1
Lockal,Lockal,ADDED,4
Beko,Beko,ADDED,1
Boollieva,Boollieva,ADDED,1
NMaia,NMaia,ADDED,2
Wdpp,Wdpp,ADDED,2
Lewis Hulbert,Lewis Hulbert,ADDED,1
1-Byte,1-Byte,ADDED,1
Mhl20,Mhl20,ADDED,1
Jura1,Jura1,ADDED,1
Jnylen,Jnylen,ADDED,1
Rotpunkt,Rotpunkt,ADDED,1
Pintoch,Pintoch,ADDED,2
CennoxX,CennoxX,ADDED,2
MisstressD,MisstressD,ADDED,1
ValterVBot,ValterVBot,ADDED,1
Simon Villeneuve,Simon Villeneuve,ADDED,1
Eru,Eru,ADDED,1
Cavaliere grande,Cavaliere grande,ADDED,1
Spinoziano,Spinoziano,ADDED,1
Kam Solusar,Kam Solusar,ADDED,1
Amihan27,Amihan27,ADDED,1
Christian140,Christian140,ADDED,2
Xezbeth,Xezbeth,ADDED,1
JuanToño,JuanToño,ADDED,1
VulcanSphere,VulcanSphere,ADDED,1
Argo Carpathians,Argo Carpathians,ADDED,6
Reinheitsgebot,Reinheitsgebot,ADDED,1
Tinker Bell,Tinker Bell,ADDED,1
Bencemac,Bencemac,ADDED,6
Jean-Frédéric,Jean-Frédéric,ADDED,2
NicereddyBot,NicereddyBot,ADDED,1
BorkedBot,BorkedBot,ADDED,2
Asierog,Asierog,ADDED,1
Урыл,Урыл,ADDED,1
Gauravahlawat81,Gauravahlawat81,ADDED,1
Stevenliuyi,Stevenliuyi,ADDED,2
Ｈ00000000000,Ｈ00000000000,ADDED,2
Floyd-out,Floyd-out,ADDED,2
Njzjz,Njzjz,ADDED,1
Trade,Trade,ADDED,1
מתקןמחשב,מתקןמחשב,ADDED,1
BrokenSegue,BrokenSegue,ADDED,1
RPI2026F1,RPI2026F1,ADDED,4
Simone Biancolilla,Simone Biancolilla,ADDED,9
Laftp0,Laftp0,ADDED,4
Wd-Ryan,Wd-Ryan,ADDED,1
DannyS712,DannyS712,ADDED,1
RPI2026F1Bot,RPI2026F1Bot,ADDED,2
Kirilloparma,Kirilloparma,ADDED,2
MidleadingBot,MidleadingBot,ADDED,1
Binarycat64,Binarycat64,ADDED,1
KrBot,KrBot,ADDED,1
Matthias M.,Matthias M.,ADDED,1
Balise42,Balise42,ADDED,1
Ameisenigel,Ameisenigel,ADDED,1
Fryed-peach,Fryed-peach,ADDED,2
Dexbot,MazinX,DELETED,-1
Firippu-san,Infovarius,DELETED,-1
Christian140,Christian140,DELETED,-1
أنور,Beko,DELETED,-1
أنور,Bradipo Lento,DELETED,-1
QuickStatementsBot,Pasleim,DELETED,-1
VulcanSphere,Simon Villeneuve,DELETED,-1
VulcanSphere,VulcanSphere,DELETED,-1
VulcanSphere,Xezbeth,DELETED,-1
VulcanSphere,Jura1,DELETED,-1
VulcanSphere,Wdpp,DELETED,-1
VulcanSphere,Edgars2007,DELETED,-1
VulcanSphere,Lockal,DELETED,-1
VulcanSphere,Sakretsu,DELETED,-1
VulcanSphere,NMaia,DELETED,-1
VulcanSphere,Lewis Hulbert,DELETED,-1
VulcanSphere,1-Byte,DELETED,-1
VulcanSphere,Mhl20,DELETED,-1
VulcanSphere,Jnylen,DELETED,-1
VulcanSphere,Epìdosis,DELETED,-1
VulcanSphere,Pintoch,DELETED,-1
VulcanSphere,CennoxX,DELETED,-2
VulcanSphere,ValterVBot,DELETED,-1
VulcanSphere,Kam Solusar,DELETED,-1
VulcanSphere,Cavaliere grande,DELETED,-1
VulcanSphere,Edoardo88,DELETED,-1
Argo Carpathians,VulcanSphere,DELETED,-1
Argo Carpathians,Argo Carpathians,DELETED,-1
Argo Carpathians,MisterSynergy,DELETED,-1
Christian140,VulcanSphere,DELETED,-1
181.29.165.110,VulcanSphere,DELETED,-2
181.29.165.110,Argo Carpathians,DELETED,-1
181.29.165.110,KrBot,DELETED,-1
181.29.165.110,181.29.165.110,DELETED,-1
Janik98,Bradipo Lento,DELETED,-1
Janik98,Reinheitsgebot,DELETED,-1
Trade,Trade,DELETED,-1
Nafiya Ahmed,Xezbeth,DELETED,-1
מתקןמחשב,מתקןמחשב,DELETED,-1
Laftp0,Laftp0,DELETED,-3
RPI2026F1,RPI2026F1,DELETED,-1
Simone Biancolilla,Simone Biancolilla,DELETED,-2
Mullanur,Harryboyles,DELETED,-1
Ameisenigel,Tinker Bell,DELETED,-1
OQZYwD0R,RPI2026F1,DELETED,-1
MazinX,MazinX,MODIFIED,1
Legobot,Legobot,MODIFIED,1
GPUBot,GPUBot,MODIFIED,1
콩가루,MazinX,MODIFIED,1
콩가루,콩가루,MODIFIED,1
Steenthbot,Steenthbot,MODIFIED,1
Aldnonymous,콩가루,MODIFIED,1
Infovarius,Infovarius,MODIFIED,1
TomT0m,콩가루,MODIFIED,1
Edoardo88,Edoardo88,MODIFIED,3
Thibaut120094,Thibaut120094,MODIFIED,1
Pasleim,Pasleim,MODIFIED,1
Mbch331,Mbch331,MODIFIED,1
Firippu-san,TomT0m,MODIFIED,1
Firippu-san,Firippu-san,MODIFIED,1
Christian140,Mbch331,MODIFIED,1
Edgars2007,Edgars2007,MODIFIED,1
Thierry Caro,Thierry Caro,MODIFIED,2
KasparBot,KasparBot,MODIFIED,1
Pigsonthewing-bot,Pigsonthewing-bot,MODIFIED,1
EdgarsBot,EdgarsBot,MODIFIED,1
Sakretsu,Thibaut120094,MODIFIED,1
Sakretsu,Thierry Caro,MODIFIED,1
Murak0,GPUBot,MODIFIED,1
Beko,Beko,MODIFIED,1
Shumaila.kausar555,Pigsonthewing-bot,MODIFIED,1
JersyJacob,Thierry Caro,MODIFIED,1
Amitbjadhav,Shumaila.kausar555,MODIFIED,1
أنور,Edoardo88,MODIFIED,1
Wdpp,Firippu-san,MODIFIED,1
Jura1,Jura1,MODIFIED,1
MisterSynergy,أنور,MODIFIED,1
Rotpunkt,Rotpunkt,MODIFIED,1
MisterSynergy,Firippu-san,MODIFIED,1
Maxlath,Edoardo88,MODIFIED,1
Maxlath,Maxlath,MODIFIED,1
Soyomogi,JersyJacob,MODIFIED,1
Soyomogi,Soyomogi,MODIFIED,1
CennoxX,Wdpp,MODIFIED,1
Simon Villeneuve,Simon Villeneuve,MODIFIED,1
ユック,콩가루,MODIFIED,1
ユック,ユック,MODIFIED,4
VulcanSphere,MisstressD,MODIFIED,1
Kam Solusar,CennoxX,MODIFIED,1
Christian140,Maxlath,MODIFIED,1
Christian140,Christian140,MODIFIED,4
JuanToño,JuanToño,MODIFIED,5
Epìdosis,Rotpunkt,MODIFIED,1
Epìdosis,Epìdosis,MODIFIED,4
Epìdosis,Thibaut120094,MODIFIED,1
Sakretsu,Kam Solusar,MODIFIED,1
Sakretsu,Sakretsu,MODIFIED,4
Sakretsu,Aldnonymous,MODIFIED,1
VulcanSphere,Christian140,MODIFIED,2
VulcanSphere,VulcanSphere,MODIFIED,8
VulcanSphere,Sakretsu,MODIFIED,2
VulcanSphere,ユック,MODIFIED,1
VulcanSphere,Epìdosis,MODIFIED,1
KrBot,VulcanSphere,MODIFIED,1
Argo Carpathians,Danrok,MODIFIED,1
Argo Carpathians,Argo Carpathians,MODIFIED,9
Argo Carpathians,JuanToño,MODIFIED,1
KrBot,Argo Carpathians,MODIFIED,1
Epìdosis,VulcanSphere,MODIFIED,1
141.90.9.62,Christian140,MODIFIED,1
JC Work,VulcanSphere,MODIFIED,1
Argo Carpathians,Epìdosis,MODIFIED,1
181.29.165.110,Argo Carpathians,MODIFIED,2
181.29.165.110,181.29.165.110,MODIFIED,1
Bencemac,181.29.165.110,MODIFIED,1
OsamaK,JC Work,MODIFIED,1
OsamaK,OsamaK,MODIFIED,10
Jean-Frédéric,Jean-Frédéric,MODIFIED,15
OsamaK,141.90.9.62,MODIFIED,1
Lockal,OsamaK,MODIFIED,1
Lockal,Lockal,MODIFIED,17
170.231.223.180,Spinoziano,MODIFIED,1
Bencemac,170.231.223.180,MODIFIED,1
Xezbeth,Bencemac,MODIFIED,1
Krassotkin,Bencemac,MODIFIED,1
Asierog,Krassotkin,MODIFIED,1
Asierog,OsamaK,MODIFIED,1
Asierog,MisterSynergy,MODIFIED,1
Asierog,Asierog,MODIFIED,1
Asierog,KrBot,MODIFIED,1
194.38.58.32,Asierog,MODIFIED,1
78.30.26.146,Xezbeth,MODIFIED,1
KrBot,Asierog,MODIFIED,1
Overcast07,78.30.26.146,MODIFIED,1
93.178.40.230,KrBot,MODIFIED,1
93.178.40.230,93.178.40.230,MODIFIED,1
Bencemac,93.178.40.230,MODIFIED,1
Joanastasia,Boollieva,MODIFIED,1
Bencemac,Joanastasia,MODIFIED,1
186.70.189.93,NicereddyBot,MODIFIED,1
Bencemac,186.70.189.93,MODIFIED,1
JAnDbot,Steenthbot,MODIFIED,1
Bcxfu75k,Argo Carpathians,MODIFIED,1
Ideophagous,Bencemac,MODIFIED,1
Ideophagous,Ideophagous,MODIFIED,2
Ideophagous,194.38.58.32,MODIFIED,1
Brantmeierz,Bencemac,MODIFIED,1
Brantmeierz,Brantmeierz,MODIFIED,3
85.92.190.251,Bencemac,MODIFIED,1
Bencemac,85.92.190.251,MODIFIED,1
KrBot,JAnDbot,MODIFIED,2
KrBot,KrBot,MODIFIED,5
J 1982,Lockal,MODIFIED,1
2605:B100:E012:DC54:4849:F360:8DC0:3283,Bencemac,MODIFIED,1
2605:B100:E012:DC54:4849:F360:8DC0:3283,Ideophagous,MODIFIED,1
122.173.30.137,2605:B100:E012:DC54:4849:F360:8DC0:3283,MODIFIED,1
Bencemac,122.173.30.137,MODIFIED,1
Jul-Ar,Bencemac,MODIFIED,1
Jul-Ar,Jul-Ar,MODIFIED,1
KrBot,Brantmeierz,MODIFIED,1
BorkedBot,J 1982,MODIFIED,1
BorkedBot,BorkedBot,MODIFIED,12
130.83.152.40,Bencemac,MODIFIED,1
130.83.152.40,130.83.152.40,MODIFIED,1
130.83.152.40,Argo Carpathians,MODIFIED,1
130.83.152.40,Amihan27,MODIFIED,1
130.83.152.40,Murak0,MODIFIED,1
201.141.236.157,130.83.152.40,MODIFIED,1
201.141.236.157,201.141.236.157,MODIFIED,2
Blueuniverseas,201.141.236.157,MODIFIED,1
Blueuniverseas,Blueuniverseas,MODIFIED,1
Xezbeth,130.83.152.40,MODIFIED,3
Xezbeth,Xezbeth,MODIFIED,1
Floyd-out,2605:B100:E012:DC54:4849:F360:8DC0:3283,MODIFIED,1
Floyd-out,Firippu-san,MODIFIED,1
2404:C0:7140:0:0:0:3120:C28A,KrBot,MODIFIED,1
2600:1700:3720:3770:880F:5DDA:4F6D:3F8A,2404:C0:7140:0:0:0:3120:C28A,MODIFIED,1
Titore,2600:1700:3720:3770:880F:5DDA:4F6D:3F8A,MODIFIED,1
2600:1700:3720:3770:653D:D66:CC44:D501,Titore,MODIFIED,1
LiberatorG,2600:1700:3720:3770:653D:D66:CC44:D501,MODIFIED,1
Brantmeierz,LiberatorG,MODIFIED,1
61.238.61.111,Overcast07,MODIFIED,1
61.238.61.111,61.238.61.111,MODIFIED,1
JAnDbot,KrBot,MODIFIED,1
Xezbeth,61.238.61.111,MODIFIED,1
Crystal-bot,Stevenliuyi,MODIFIED,1
Crystal-bot,Crystal-bot,MODIFIED,1
