Source,Target,interaction_type,value
BeneBot*,BeneBot*,ADDED,2
Art-top,Art-top,ADDED,1
Danrok,Danrok,ADDED,7
UnderlyingBot,UnderlyingBot,ADDED,4
Coyau,Coyau,ADDED,1
Pasleim,Pasleim,ADDED,1
Kareyac,Kareyac,ADDED,1
Ldhank,Ldhank,ADDED,1
Maxlath,Maxlath,ADDED,1
Kooma,Kooma,ADDED,1
Pahkiqaz,Pahkiqaz,ADDED,3
YMS,YMS,ADDED,4
Jean-Frédéric,Jean-Frédéric,ADDED,4
2001:56A:7790:C900:244D:B915:5024:22C,2001:56A:7790:C900:244D:B915:5024:22C,ADDED,1
Theklan,Theklan,ADDED,1
ZellmerLP,ZellmerLP,ADDED,1
Hakken,Hakken,ADDED,1
FallingGravity,FallingGravity,ADDED,2
Kirilloparma,Kirilloparma,ADDED,52
Wvdp,Wvdp,ADDED,1
Simon Villeneuve,Simon Villeneuve,ADDED,1
Spinoziano,Spinoziano,ADDED,1
Rorschach,Rorschach,ADDED,2
Robby,Robby,ADDED,1
OldFrankenstein,OldFrankenstein,ADDED,1
E-Soter,E-Soter,ADDED,2
Garrett,Garrett,ADDED,1
Marcok,Marcok,ADDED,1
NicereddyBot,NicereddyBot,ADDED,3
Frettie,Frettie,ADDED,2
Jaijal,Jaijal,ADDED,1
Trivialist,Trivialist,ADDED,4
Circeus,Circeus,ADDED,1
Trade,Trade,ADDED,11
Pintoch,Pintoch,ADDED,2
Sonic N800,Sonic N800,ADDED,3
Simona vy,Simona vy,ADDED,1
Bouzinac,Bouzinac,ADDED,2
KrBot,KrBot,ADDED,1
Nw520,Nw520,ADDED,1
Matlin,Matlin,ADDED,2
Misc,Misc,ADDED,1
Nvrandow,Nvrandow,ADDED,1
BrokenSegue,BrokenSegue,ADDED,3
Tom Morris,Tom Morris,ADDED,1
Renamed user f26394dcb19bd7bdad78f0d752896653,Renamed user f26394dcb19bd7bdad78f0d752896653,ADDED,1
J 1982,J 1982,ADDED,1
Fenixs-ru,Fenixs-ru,ADDED,1
Floyd-out,Floyd-out,ADDED,10
Yupik,Yupik,ADDED,1
BorkedBot,BorkedBot,ADDED,1
Pacostein,Pacostein,ADDED,1
Hamedkazemi2,Hamedkazemi2,ADDED,1
Teiron,Teiron,ADDED,1
193.50.75.162,193.50.75.162,ADDED,1
Saarik,Saarik,ADDED,1
DivineTajic,DivineTajic,ADDED,1
Loominade,Loominade,ADDED,1
Valentina.Anitnelav,Valentina.Anitnelav,ADDED,1
FireDragonValo,FireDragonValo,ADDED,9
MineoBot,MineoBot,ADDED,1
Verdel,Verdel,ADDED,1
Manu1400,Manu1400,ADDED,1
Emberwit,Emberwit,ADDED,1
Btcprox,Btcprox,ADDED,2
Josh404,Josh404,ADDED,2
A particle for world to form,A particle for world to form,ADDED,5
AlbertRA,AlbertRA,ADDED,1
Aguchito2023,Aguchito2023,ADDED,2
Amadalvarez,Amadalvarez,ADDED,1
Solidest,Solidest,ADDED,1
AGbot,AGbot,ADDED,1
Thinkcontext,Thinkcontext,ADDED,1
Máté,Máté,ADDED,1
Matthias M.,Matthias M.,ADDED,5
Xezbeth,Xezbeth,ADDED,3
Quesotiotyo,Quesotiotyo,ADDED,1
Lewis Hulbert,Lewis Hulbert,ADDED,2
Doublah,Doublah,ADDED,1
ZebaX,ZebaX,ADDED,1
Ameisenigel,Ameisenigel,ADDED,1
Pyb en résidence,Pyb en résidence,ADDED,1
Mariobanana,Mariobanana,ADDED,1
Legoktm,BeneBot*,DELETED,-1
Dexbot,Art-top,DELETED,-1
Hibyetmrwtoday,NicoScribe,DELETED,-1
Hibyetmrwtoday,YMS,DELETED,-1
199.185.67.87,YMS,DELETED,-2
199.185.67.87,199.185.67.87,DELETED,-1
85.251.170.37,85.251.170.37,DELETED,-1
85.251.170.37,Danrok,DELETED,-1
83.50.37.215,MisterSynergy,DELETED,-1
190.48.130.87,2.152.247.15,DELETED,-1
Hakken,190.48.130.87,DELETED,-1
Kirilloparma,Kirilloparma,DELETED,-4
Sjoerddebruin,Marcok,DELETED,-1
Kirilloparma,Frettie,DELETED,-1
Jaijal,Jaijal,DELETED,-1
Kirilloparma,Sjoerddebruin,DELETED,-1
Kirilloparma,Sonic N800,DELETED,-3
Kirilloparma,Bouzinac,DELETED,-1
Bargioni,E-Soter,DELETED,-1
Misc,Nw520,DELETED,-1
75.15.233.160,Simon Villeneuve,DELETED,-1
122.56.77.7,Kirilloparma,DELETED,-1
122.56.77.7,Trivialist,DELETED,-1
122.56.77.7,Trade,DELETED,-3
103.12.128.98,Kirilloparma,DELETED,-1
103.12.128.98,Koko1998,DELETED,-1
Bovlb,193.50.75.162,DELETED,-1
Trivialist,Overcast07,DELETED,-1
Skazi,FireDragonValo,DELETED,-1
BrookTheHumming,PedroAcero76,DELETED,-1
Kirilloparma,Trade,DELETED,-1
ZebaX,Kirilloparma,DELETED,-1
Ameisenigel,Pacostein,DELETED,-1
Gorjablanc,Aguchito2023,DELETED,-2
87.251.157.223,BeneBot*,MODIFIED,1
YMS,87.251.157.223,MODIFIED,1
UnderlyingBot,UnderlyingBot,MODIFIED,4
Danrok,Danrok,MODIFIED,11
Danrok,YMS,MODIFIED,2
Coyau,Coyau,MODIFIED,1
Pasleim,Pasleim,MODIFIED,1
Kareyac,Kareyac,MODIFIED,1
Danrok,Pasleim,MODIFIED,1
Danrok,UnderlyingBot,MODIFIED,3
Cjkotecki,Danrok,MODIFIED,1
Cjkotecki,Cjkotecki,MODIFIED,1
70.188.11.232,Danrok,MODIFIED,1
KonstantinaG07,70.188.11.232,MODIFIED,1
Maxlath,Maxlath,MODIFIED,4
2602:306:35FB:69D0:BDB8:61BE:E5D1:BE6A,Kareyac,MODIFIED,1
201.142.135.61,Danrok,MODIFIED,1
201.142.135.61,Cjkotecki,MODIFIED,1
201.142.135.61,2602:306:35FB:69D0:BDB8:61BE:E5D1:BE6A,MODIFIED,1
YMS,201.142.135.61,MODIFIED,3
145.120.87.139,UnderlyingBot,MODIFIED,1
YMS,145.120.87.139,MODIFIED,1
Kooma,Kooma,MODIFIED,1
64.72.84.67,Danrok,MODIFIED,1
NicoScribe,64.72.84.67,MODIFIED,1
Pahkiqaz,Pahkiqaz,MODIFIED,1
212.231.64.161,Pahkiqaz,MODIFIED,1
YMS,212.231.64.161,MODIFIED,1
Danrok,Pahkiqaz,MODIFIED,1
188.86.15.136,Danrok,MODIFIED,1
73.175.161.47,Danrok,MODIFIED,2
73.175.161.47,188.86.15.136,MODIFIED,1
73.175.161.47,YMS,MODIFIED,1
199.185.67.87,73.175.161.47,MODIFIED,2
193.63.41.17,YMS,MODIFIED,1
YMS,193.63.41.17,MODIFIED,1
85.251.170.37,Danrok,MODIFIED,1
85.251.170.37,199.185.67.87,MODIFIED,1
YMS,85.251.170.37,MODIFIED,1
194.100.50.69,73.175.161.47,MODIFIED,1
Dissident93,194.100.50.69,MODIFIED,1
Dissident93,73.175.161.47,MODIFIED,1
Dissident93,Dissident93,MODIFIED,2
Dissident93,YMS,MODIFIED,1
168.184.14.101,YMS,MODIFIED,1
168.184.14.101,168.184.14.101,MODIFIED,1
Jared Preston,168.184.14.101,MODIFIED,1
201.97.46.117,Jean-Frédéric,MODIFIED,1
YMS,201.97.46.117,MODIFIED,1
2.101.82.4,KonstantinaG07,MODIFIED,1
92.111.193.138,YMS,MODIFIED,1
Mbchbot,92.111.193.138,MODIFIED,1
Nrodriguez0620,2.101.82.4,MODIFIED,1
YMS,Nrodriguez0620,MODIFIED,1
Dgdffsdg,Dissident93,MODIFIED,1
KrBot,YMS,MODIFIED,1
5.156.59.63,Dgdffsdg,MODIFIED,1
85.194.217.253,Jared Preston,MODIFIED,1
NicoScribe,Mbchbot,MODIFIED,1
NicoScribe,85.194.217.253,MODIFIED,1
YMS,5.156.59.63,MODIFIED,1
96.5.31.9,YMS,MODIFIED,1
YMS,96.5.31.9,MODIFIED,1
194.25.12.235,YMS,MODIFIED,1
NicoScribe,194.25.12.235,MODIFIED,1
217.180.35.14,NicoScribe,MODIFIED,1
217.180.35.14,YMS,MODIFIED,1
YMS,217.180.35.14,MODIFIED,2
Maxlath,Danrok,MODIFIED,1
PLbot,Maxlath,MODIFIED,1
94.59.238.236,YMS,MODIFIED,1
Maxlath,KrBot,MODIFIED,1
2A01:C50E:89A3:2000:1C3B:2E1F:67A4:B1E1,94.59.238.236,MODIFIED,1
2A01:C50E:89A3:2000:B95E:5702:F36D:58D0,NicoScribe,MODIFIED,1
NicoScribe,2A01:C50E:89A3:2000:B95E:5702:F36D:58D0,MODIFIED,1
81.207.119.62,YMS,MODIFIED,1
202.45.119.29,YMS,MODIFIED,1
202.45.119.29,202.45.119.29,MODIFIED,1
NicoScribe,81.207.119.62,MODIFIED,1
NicoScribe,202.45.119.29,MODIFIED,1
37.210.61.212,Dissident93,MODIFIED,1
37.210.61.212,NicoScribe,MODIFIED,1
37.210.61.212,37.210.61.212,MODIFIED,2
37.210.61.212,Danrok,MODIFIED,1
NicoScribe,37.210.61.212,MODIFIED,1
81.186.1.49,Theklan,MODIFIED,1
81.186.1.49,81.186.1.49,MODIFIED,1
NicoScribe,81.186.1.49,MODIFIED,1
190.221.94.193,NicoScribe,MODIFIED,2
190.221.94.193,37.210.61.212,MODIFIED,1
190.221.94.193,2001:56A:7790:C900:244D:B915:5024:22C,MODIFIED,1
NicoScribe,190.221.94.193,MODIFIED,4
