Id,added_words,WordCount,Lat,Long
PearlieGirl,1,0,0,0
Harryboyles,0,0,0,0
Edgars2007,1,0,0,0
Shei98,0,0,0,0
Tinker Bell,1,0,0,0
NicereddyBot,1,0,0,0
85.92.190.251,0,0,0,0
CennoxX,2,0,0,0
Infovarius,1,0,0,0
Brantmeierz,0,0,0,0
Crystal-bot,0,0,0,0
1-Byte,1,0,0,0
Thibaut120094,2,0,0,0
OQZYwD0R,0,0,0,0
Edoardo88,3,0,0,0
Bencemac,6,0,0,0
VulcanSphere,1,0,0,0
Amitbjadhav,0,0,0,0
Bcxfu75k,0,0,0,0
Krassotkin,0,0,0,0
Bradipo Lento,2,0,0,0
Eru,1,0,0,0
J 1982,0,0,0,0
Legobot,1,0,0,0
Laftp0,4,0,0,0
Mullanur,0,0,0,0
Soyomogi,0,0,0,0
Wdpp,2,0,0,0
QuickStatementsBot,0,0,0,0
141.90.9.62,0,0,0,0
Reinheitsgebot,1,0,0,0
RPI2026F1Bot,2,0,0,0
Dexbot,0,0,0,0
Argo Carpathians,6,0,0,0
2404:C0:7140:0:0:0:3120:C28A,0,0,0,0
Xezbeth,1,0,0,0
BorkedBot,2,0,0,0
Amihan27,1,0,0,0
201.141.236.157,0,0,0,0
Урыл,1,0,0,0
JuanToño,1,0,0,0
Simon Villeneuve,1,0,0,0
2600:1700:3720:3770:653D:D66:CC44:D501,0,0,0,0
130.83.152.40,0,0,0,0
194.38.58.32,0,0,0,0
122.173.30.137,0,0,0,0
MisterSynergy,0,0,0,0
EdgarsBot,1,0,0,0
Sakretsu,0,0,0,0
186.70.189.93,0,0,0,0
מתקןמחשב,1,0,0,0
Jean-Frédéric,2,0,0,0
ValterVBot,1,0,0,0
Simone Biancolilla,9,0,0,0
Pintoch,2,0,0,0
Balise42,1,0,0,0
Shumaila.kausar555,0,0,0,0
2600:1700:3720:3770:880F:5DDA:4F6D:3F8A,0,0,0,0
Firippu-san,2,0,0,0
Overcast07,0,0,0,0
Fryed-peach,2,0,0,0
TomT0m,0,0,0,0
Joanastasia,0,0,0,0
Nafiya Ahmed,0,0,0,0
SMP,0,0,0,0
78.30.26.146,0,0,0,0
93.178.40.230,0,0,0,0
61.238.61.111,0,0,0,0
ユック,0,0,0,0
MisstressD,1,0,0,0
Steenthbot,1,0,0,0
Jul-Ar,0,0,0,0
أنور,0,0,0,0
Beko,1,0,0,0
OsamaK,0,0,0,0
Lewis Hulbert,1,0,0,0
DifoolBot,0,0,0,0
KasparBot,1,0,0,0
LiberatorG,0,0,0,0
Murak0,0,0,0,0
GPUBot,1,0,0,0
RPI2026F1,4,0,0,0
Indpcatll,0,0,0,0
Aldnonymous,0,0,0,0
Pasleim,1,0,0,0
Rotpunkt,1,0,0,0
MidleadingBot,1,0,0,0
MazinX,2,0,0,0
Matthias M.,1,0,0,0
Floyd-out,2,0,0,0
Njzjz,1,0,0,0
KrBot,1,0,0,0
2605:B100:E012:DC54:4849:F360:8DC0:3283,0,0,0,0
Mbch331,1,0,0,0
Xzonn2000,0,0,0,0
Spinoziano,1,0,0,0
JAnDbot,0,0,0,0
Titore,0,0,0,0
Jnylen,1,0,0,0
Jura1,1,0,0,0
Pigsonthewing-bot,1,0,0,0
NMaia,2,0,0,0
170.231.223.180,0,0,0,0
Wd-Ryan,1,0,0,0
Mhl20,1,0,0,0
Ameisenigel,1,0,0,0
Cavaliere grande,1,0,0,0
Trade,1,0,0,0
Janik98,0,0,0,0
Blueuniverseas,0,0,0,0
181.29.165.110,0,0,0,0
Gauravahlawat81,1,0,0,0
Ｈ00000000000,2,0,0,0
Danrok,1,0,0,0
콩가루,2,0,0,0
JersyJacob,0,0,0,0
Binarycat64,1,0,0,0
Kam Solusar,1,0,0,0
Asierog,1,0,0,0
Boollieva,1,0,0,0
Thierry Caro,2,0,0,0
Christian140,2,0,0,0
BrokenSegue,1,0,0,0
Ideophagous,0,0,0,0
Kirilloparma,2,0,0,0
Lockal,4,0,0,0
Maxlath,0,0,0,0
Stevenliuyi,2,0,0,0
DannyS712,1,0,0,0
Epìdosis,0,0,0,0
JC Work,0,0,0,0
