Id,added_words,WordCount,Lat,Long
OldFrankenstein,1,0,0,0
CommanderKefir,0,0,0,0
190.82.103.206,0,0,0,0
Titore,0,0,0,0
2A01:C50E:89A3:2000:1C3B:2E1F:67A4:B1E1,0,0,0,0
85.204.136.17,0,0,0,0
Prcondo,0,0,0,0
202.45.119.29,0,0,0,0
Marcok,1,0,0,0
36.80.218.123,0,0,0,0
Ameisenigel,1,0,0,0
124.253.197.218,0,0,0,0
193.63.41.17,0,0,0,0
Legoktm,0,0,0,0
2001:56A:7790:C900:244D:B915:5024:22C,1,0,0,0
Fuzheado,0,0,0,0
Amadalvarez,1,0,0,0
Simona vy,1,0,0,0
24.209.86.164,0,0,0,0
103.12.128.98,0,0,0,0
RazDum,0,0,0,0
2.152.247.15,0,0,0,0
210.55.200.165,0,0,0,0
Solidest,1,0,0,0
199.241.172.138,0,0,0,0
J 1982,1,0,0,0
2601:249:8180:35B0:DDF6:A2F3:E35F:A6ED,0,0,0,0
NotRepubilcTV,0,0,0,0
OsamaK,0,0,0,0
181.230.144.24,0,0,0,0
Floyd-out,10,0,0,0
194.25.12.235,0,0,0,0
83.36.120.174,0,0,0,0
NicoScribe,0,0,0,0
Nvrandow,1,0,0,0
186.105.57.107,0,0,0,0
Nrodriguez0620,0,0,0,0
175.32.224.145,0,0,0,0
Mielas,0,0,0,0
2602:306:35FB:69D0:BDB8:61BE:E5D1:BE6A,0,0,0,0
212.231.64.161,0,0,0,0
Emberwit,1,0,0,0
85.222.255.54,0,0,0,0
Frettie,2,0,0,0
PLbot,0,0,0,0
Meno25,0,0,0,0
Sjoerddebruin,0,0,0,0
81.186.1.49,0,0,0,0
2605:A000:92C7:A300:28A3:C089:283D:FA5E,0,0,0,0
Hjart,0,0,0,0
190.239.191.21,0,0,0,0
Tom Morris,1,0,0,0
Hibyetmrwtoday,0,0,0,0
199.164.68.175,0,0,0,0
AlbertRA,1,0,0,0
Jaijal,1,0,0,0
Pahkiqaz,3,0,0,0
Aguchito2023,2,0,0,0
A particle for world to form,5,0,0,0
Pacostein,1,0,0,0
217.180.35.14,0,0,0,0
Iamcarbon,0,0,0,0
73.175.161.47,0,0,0,0
UnderlyingBot,4,0,0,0
Spinoziano,1,0,0,0
94.59.238.236,0,0,0,0
Pasleim,1,0,0,0
Manu1400,1,0,0,0
51.179.165.52,0,0,0,0
98.180.64.93,0,0,0,0
Johannesoestby,0,0,0,0
Máté,1,0,0,0
2601:601:947F:B7D8:98EA:353C:698A:ED92,0,0,0,0
Bouzinac,2,0,0,0
Theklan,1,0,0,0
Misc,1,0,0,0
194.100.50.69,0,0,0,0
87.231.155.207,0,0,0,0
76.1.164.192,0,0,0,0
168.9.35.212,0,0,0,0
WikiPediaAid,0,0,0,0
Lewis Hulbert,2,0,0,0
Garrett,1,0,0,0
Skazi,0,0,0,0
201.97.46.117,0,0,0,0
24.105.173.194,0,0,0,0
Stylez995,0,0,0,0
ZebaX,1,0,0,0
75.15.233.160,0,0,0,0
201.142.135.61,0,0,0,0
BorkedBot,1,0,0,0
2806:109F:9:51A3:ACE8:F1E1:DFC9:B7EA,0,0,0,0
Tantamounts,0,0,0,0
Trade,11,0,0,0
195.236.123.25,0,0,0,0
ThomasPusch,0,0,0,0
94.44.241.1,0,0,0,0
2.101.82.4,0,0,0,0
Haansn08,0,0,0,0
72.10.96.38,0,0,0,0
Kirilloparma,52,0,0,0
Mbchbot,0,0,0,0
2604:2000:1201:8B79:F527:8CCD:2968:84B0,0,0,0,0
194.83.16.10,0,0,0,0
Xezbeth,3,0,0,0
Skyshifter,0,0,0,0
Janbery,0,0,0,0
Guillaume645,0,0,0,0
Up boi,0,0,0,0
KrBot,1,0,0,0
Bovlb,0,0,0,0
Nw520,1,0,0,0
HakanIST,0,0,0,0
Koko1998,0,0,0,0
Rorschach,2,0,0,0
Dgdffsdg,0,0,0,0
Loominade,1,0,0,0
Iouppoiytd,0,0,0,0
Saarik,1,0,0,0
NicereddyBot,3,0,0,0
92.111.193.138,0,0,0,0
64.72.84.67,0,0,0,0
Dr.üsenfieber,0,0,0,0
Bargioni,0,0,0,0
Cjkotecki,0,0,0,0
Shinnin,0,0,0,0
2601:CB:4002:997:D03D:45B:58D7:B647,0,0,0,0
70.188.11.232,0,0,0,0
Dexbot,0,0,0,0
Btcprox,2,0,0,0
87.251.157.223,0,0,0,0
2800:E2:D80:EF0:E04E:69B2:4D8A:6857,0,0,0,0
Elcaspas,0,0,0,0
Yupik,1,0,0,0
Verdel,1,0,0,0
58.10.153.152,0,0,0,0
45.72.235.121,0,0,0,0
Doublah,1,0,0,0
153.107.26.139,0,0,0,0
BrokenSegue,3,0,0,0
FireDragonValo,9,0,0,0
Teiron,1,0,0,0
Pyb en résidence,1,0,0,0
Mariobanana,1,0,0,0
2001:1284:F016:1058:216:3EFF:FE2F:A0ED,0,0,0,0
Hamedkazemi2,1,0,0,0
165.155.205.247,0,0,0,0
Circeus,1,0,0,0
Pintoch,2,0,0,0
96.5.31.9,0,0,0,0
201.220.18.182,0,0,0,0
DivineTajic,1,0,0,0
Wd-Ryan,0,0,0,0
Jared Preston,0,0,0,0
2A01:C50F:FE52:EB00:B17A:7BF0:B758:6A9F,0,0,0,0
153.107.193.210,0,0,0,0
200.68.140.17,0,0,0,0
Overcast07,0,0,0,0
69.58.49.50,0,0,0,0
113.160.94.2,0,0,0,0
84.121.121.173,0,0,0,0
83.202.79.127,0,0,0,0
145.120.87.139,0,0,0,0
Maxlath,1,0,0,0
193.50.75.162,1,0,0,0
181.94.225.44,0,0,0,0
91.106.133.216,0,0,0,0
ZellmerLP,1,0,0,0
37.132.39.35,0,0,0,0
190.221.94.193,0,0,0,0
64.113.185.161,0,0,0,0
Altuhacker,0,0,0,0
Robby,1,0,0,0
Powell2026,0,0,0,0
Valentina.Anitnelav,1,0,0,0
KonstantinaG07,0,0,0,0
Jean-Frédéric,4,0,0,0
PedroAcero76,0,0,0,0
Kill trump,0,0,0,0
Nicereddy,0,0,0,0
Thinkcontext,1,0,0,0
213.97.38.217,0,0,0,0
83.50.37.215,0,0,0,0
3fortnite,0,0,0,0
199.216.93.230,0,0,0,0
88.27.246.81,0,0,0,0
108.84.26.212,0,0,0,0
Matlin,2,0,0,0
LiberatorG,0,0,0,0
213.148.194.118,0,0,0,0
Սահակ,0,0,0,0
Wydupczaj,0,0,0,0
168.184.14.101,0,0,0,0
85.251.170.37,0,0,0,0
Dissident93,0,0,0,0
2A00:23C4:2804:F800:AD1D:F41A:4275:5ED2,0,0,0,0
199.185.67.87,0,0,0,0
81.43.65.73,0,0,0,0
2.108.150.86,0,0,0,0
AGbot,1,0,0,0
Harryboyles,0,0,0,0
152.170.90.250,0,0,0,0
Danrok,7,0,0,0
190.183.76.241,0,0,0,0
Trivialist,4,0,0,0
Kooma,1,0,0,0
BrookTheHumming,0,0,0,0
Coyau,1,0,0,0
109.211.70.250,0,0,0,0
41.92.7.51,0,0,0,0
Josh404Bot,0,0,0,0
Ldhank,1,0,0,0
YMS,4,0,0,0
198.236.39.100,0,0,0,0
151.41.184.239,0,0,0,0
Renamed user f26394dcb19bd7bdad78f0d752896653,1,0,0,0
85.194.217.253,0,0,0,0
Shimarin,0,0,0,0
185.73.189.70,0,0,0,0
2001:16A2:8BA:7700:1D6C:F16C:A628:4E34,0,0,0,0
Matthias M.,5,0,0,0
5.156.59.63,0,0,0,0
37.210.61.212,0,0,0,0
189.243.227.18,0,0,0,0
203.54.240.158,0,0,0,0
162.127.48.2,0,0,0,0
186.106.173.134,0,0,0,0
Kareyac,1,0,0,0
170.158.107.210,0,0,0,0
Vojtěch Dostál,0,0,0,0
122.56.77.7,0,0,0,0
Fenixs-ru,1,0,0,0
Vanished user dQDlMQgQxhLcMeEgJccr,0,0,0,0
188.127.96.182,0,0,0,0
94.23.206.11,0,0,0,0
MineoBot,1,0,0,0
Art-top,1,0,0,0
83.223.9.44,0,0,0,0
BeneBot*,2,0,0,0
FallingGravity,2,0,0,0
Wvdp,1,0,0,0
Josh404,2,0,0,0
E-Soter,2,0,0,0
190.48.130.87,0,0,0,0
Simon Villeneuve,1,0,0,0
Gorjablanc,0,0,0,0
MisterSynergy,0,0,0,0
81.207.119.62,0,0,0,0
Kam Solusar,0,0,0,0
213.67.29.106,0,0,0,0
189.215.232.15,0,0,0,0
Hakken,1,0,0,0
188.86.15.136,0,0,0,0
Hguti2004,0,0,0,0
2003:6:6354:4F03:7A32:64AB:C2E0:3B25,0,0,0,0
168.216.112.212,0,0,0,0
NoInkling,0,0,0,0
Sonic N800,3,0,0,0
87.125.118.126,0,0,0,0
Njohnson7,0,0,0,0
190.235.106.78,0,0,0,0
138.44.64.43,0,0,0,0
2A01:C50E:89A3:2000:B95E:5702:F36D:58D0,0,0,0,0
Quesotiotyo,1,0,0,0
