Source,Target,interaction_type,value
Vycl1994,Vycl1994,ADDED,9
KrBot,KrBot,ADDED,1
Thierry Caro,Thierry Caro,ADDED,1
Ghuron,Ghuron,ADDED,2
SlingWikiBot,SlingWikiBot,ADDED,1
Tinker Bell,Tinker Bell,ADDED,1
Simon Villeneuve,Simon Villeneuve,ADDED,2
Premeditated,Premeditated,ADDED,1
86.247.140.253,86.247.140.253,ADDED,1
Laddo,Laddo,ADDED,1
Bargioni,Bargioni,ADDED,1
Vladimir Alexiev,Vladimir Alexiev,ADDED,1
Lockal,Lockal,ADDED,1
Tom Morris,Tom Morris,ADDED,1
BorkedBot,BorkedBot,ADDED,1
Quesotiotyo,Quesotiotyo,ADDED,2
Reinheitsgebot,Reinheitsgebot,ADDED,2
78.39.249.113,78.39.249.113,ADDED,4
Soweego bot,Soweego bot,ADDED,2
BrokenSegue,BrokenSegue,ADDED,1
Euro know,Euro know,ADDED,7
Matlin,Matlin,ADDED,1
Josh404Bot,Josh404Bot,ADDED,1
MsynBot,MsynBot,ADDED,1
Bob08,Bob08,ADDED,1
INS Pirat,INS Pirat,ADDED,1
BotMultichillT,BotMultichillT,ADDED,1
M2k~dewiki,M2k~dewiki,ADDED,1
Luckyz,Luckyz,ADDED,1
SillyWolverène,SillyWolverène,ADDED,1
DontCallMeLateForDinner,DontCallMeLateForDinner,ADDED,1
Vycl1994,Vycl1994,DELETED,-1
Mod,Bob08,DELETED,-1
MileyCytrus,Euro know,DELETED,-2
ISNIplus,Vladimir Alexiev,DELETED,-1
Epìdosis,Reinheitsgebot,DELETED,-1
DontCallMeLateForDinner,24.224.234.105,DELETED,-1
KrBot,KrBot,MODIFIED,1
Thierry Caro,Thierry Caro,MODIFIED,1
SlingWikiBot,SlingWikiBot,MODIFIED,4
SlingWikiBot,Ghuron,MODIFIED,1
Premeditated,Premeditated,MODIFIED,1
Vladimir Alexiev,Vladimir Alexiev,MODIFIED,1
OsamaK,Vycl1994,MODIFIED,1
OsamaK,OsamaK,MODIFIED,5
OsamaK,86.247.140.253,MODIFIED,1
BorkedBot,OsamaK,MODIFIED,1
BorkedBot,BorkedBot,MODIFIED,25
Remitamine,Vycl1994,MODIFIED,1
Remitamine,Remitamine,MODIFIED,4
Soweego bot,Vycl1994,MODIFIED,1
Soweego bot,Soweego bot,MODIFIED,2
Soweego bot,Bargioni,MODIFIED,1
BrokenSegue,BrokenSegue,MODIFIED,1
Euro know,Thierry Caro,MODIFIED,1
Euro know,SlingWikiBot,MODIFIED,1
Euro know,Premeditated,MODIFIED,1
Euro know,Tinker Bell,MODIFIED,1
Euro know,Euro know,MODIFIED,1
Kukurydziarz,OsamaK,MODIFIED,1
Multichill,Kukurydziarz,MODIFIED,1
MileyCytrus,Euro know,MODIFIED,2
MileyCytrus,MileyCytrus,MODIFIED,4
MileyCytrus,Simon Villeneuve,MODIFIED,1
VojtěchDostálBot,78.39.249.113,MODIFIED,1
Emijrpbot,Simon Villeneuve,MODIFIED,1
Emijrpbot,Euro know,MODIFIED,1
Emijrpbot,Laddo,MODIFIED,1
Hameltion,SillyWolverène,MODIFIED,1
24.224.234.105,SlingWikiBot,MODIFIED,1
