Source,Target,interaction_type
Vycl1994,Vycl1994,ADDED
Vycl1994,Vycl1994,ADDED
Vycl1994,Vycl1994,ADDED
Vycl1994,Vycl1994,ADDED
Vycl1994,Vycl1994,ADDED
Vycl1994,Vycl1994,ADDED
Vycl1994,Vycl1994,ADDED
Vycl1994,Vycl1994,ADDED
Vycl1994,Vycl1994,ADDED
KrBot,KrBot,ADDED
Thierry Caro,Thierry Caro,ADDED
Ghuron,Ghuron,ADDED
Ghuron,Ghuron,ADDED
SlingWikiBot,SlingWikiBot,ADDED
Tinker Bell,Tinker Bell,ADDED
Simon Villeneuve,Simon Villeneuve,ADDED
Simon Villeneuve,Simon Villeneuve,ADDED
Premeditated,Premeditated,ADDED
86.247.140.253,86.247.140.253,ADDED
Laddo,Laddo,ADDED
Bargioni,Bargioni,ADDED
Vladimir Alexiev,Vladimir Alexiev,ADDED
Lockal,Lockal,ADDED
Tom Morris,Tom Morris,ADDED
BorkedBot,BorkedBot,ADDED
Quesotiotyo,Quesotiotyo,ADDED
Quesotiotyo,Quesotiotyo,ADDED
Reinheitsgebot,Reinheitsgebot,ADDED
Reinheitsgebot,Reinheitsgebot,ADDED
78.39.249.113,78.39.249.113,ADDED
78.39.249.113,78.39.249.113,ADDED
78.39.249.113,78.39.249.113,ADDED
78.39.249.113,78.39.249.113,ADDED
Soweego bot,Soweego bot,ADDED
Soweego bot,Soweego bot,ADDED
BrokenSegue,BrokenSegue,ADDED
Euro know,Euro know,ADDED
Euro know,Euro know,ADDED
Euro know,Euro know,ADDED
Euro know,Euro know,ADDED
Euro know,Euro know,ADDED
Euro know,Euro know,ADDED
Euro know,Euro know,ADDED
Matlin,Matlin,ADDED
Josh404Bot,Josh404Bot,ADDED
MsynBot,MsynBot,ADDED
Bob08,Bob08,ADDED
INS Pirat,INS Pirat,ADDED
BotMultichillT,BotMultichillT,ADDED
M2k~dewiki,M2k~dewiki,ADDED
Luckyz,Luckyz,ADDED
SillyWolverène,SillyWolverène,ADDED
DontCallMeLateForDinner,DontCallMeLateForDinner,ADDED
Vycl1994,Vycl1994,DELETED
Mod,Bob08,DELETED
MileyCytrus,Euro know,DELETED
MileyCytrus,Euro know,DELETED
ISNIplus,Vladimir Alexiev,DELETED
Epìdosis,Reinheitsgebot,DELETED
DontCallMeLateForDinner,24.224.234.105,DELETED
KrBot,KrBot,MODIFIED
Thierry Caro,Thierry Caro,MODIFIED
SlingWikiBot,SlingWikiBot,MODIFIED
SlingWikiBot,SlingWikiBot,MODIFIED
SlingWikiBot,SlingWikiBot,MODIFIED
SlingWikiBot,SlingWikiBot,MODIFIED
SlingWikiBot,Ghuron,MODIFIED
Premeditated,Premeditated,MODIFIED
Vladimir Alexiev,Vladimir Alexiev,MODIFIED
OsamaK,Vycl1994,MODIFIED
OsamaK,OsamaK,MODIFIED
OsamaK,OsamaK,MODIFIED
OsamaK,OsamaK,MODIFIED
OsamaK,OsamaK,MODIFIED
OsamaK,OsamaK,MODIFIED
OsamaK,86.247.140.253,MODIFIED
BorkedBot,OsamaK,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
BorkedBot,BorkedBot,MODIFIED
Remitamine,Vycl1994,MODIFIED
Remitamine,Remitamine,MODIFIED
Remitamine,Remitamine,MODIFIED
Remitamine,Remitamine,MODIFIED
Remitamine,Remitamine,MODIFIED
Soweego bot,Vycl1994,MODIFIED
Soweego bot,Soweego bot,MODIFIED
Soweego bot,Soweego bot,MODIFIED
Soweego bot,Bargioni,MODIFIED
BrokenSegue,BrokenSegue,MODIFIED
Euro know,Thierry Caro,MODIFIED
Euro know,SlingWikiBot,MODIFIED
Euro know,Premeditated,MODIFIED
Euro know,Tinker Bell,MODIFIED
Euro know,Euro know,MODIFIED
Kukurydziarz,OsamaK,MODIFIED
Multichill,Kukurydziarz,MODIFIED
MileyCytrus,Euro know,MODIFIED
MileyCytrus,Euro know,MODIFIED
MileyCytrus,MileyCytrus,MODIFIED
MileyCytrus,MileyCytrus,MODIFIED
MileyCytrus,MileyCytrus,MODIFIED
MileyCytrus,MileyCytrus,MODIFIED
MileyCytrus,Simon Villeneuve,MODIFIED
VojtěchDostálBot,78.39.249.113,MODIFIED
Emijrpbot,Simon Villeneuve,MODIFIED
Emijrpbot,Euro know,MODIFIED
Emijrpbot,Laddo,MODIFIED
Hameltion,SillyWolverène,MODIFIED
24.224.234.105,SlingWikiBot,MODIFIED
