Source,Target,interaction_type,value
J36miles,J36miles,ADDED,1
Karthikndr,Karthikndr,ADDED,2
Legobot,Legobot,ADDED,2
Happy5214,Happy5214,ADDED,1
Dexbot,Dexbot,ADDED,2
Snow Blizzard,Snow Blizzard,ADDED,2
VIAFbot,VIAFbot,ADDED,2
MineoBot,MineoBot,ADDED,1
SamoaBot,SamoaBot,ADDED,3
F705i,F705i,ADDED,1
Legoktm,Legoktm,ADDED,1
BotMultichill,BotMultichill,ADDED,2
KLBot2,KLBot2,ADDED,1
KrBot,KrBot,ADDED,2
GPUBot,GPUBot,ADDED,1
UnderlyingBot,UnderlyingBot,ADDED,1
Haplology,Haplology,ADDED,1
AmaryllisGardener,AmaryllisGardener,ADDED,3
Pasleim,Pasleim,ADDED,1
Jura1,Jura1,ADDED,2
SweetBot,SweetBot,ADDED,1
99.237.103.23,99.237.103.23,ADDED,1
RobotMichiel1972,RobotMichiel1972,ADDED,1
KasparBot,KasparBot,ADDED,2
Andre Engels,Andre Engels,ADDED,1
Wylve,Wylve,ADDED,1
PLbot,PLbot,ADDED,5
Damian Vo,Damian Vo,ADDED,2
Vlsergey,Vlsergey,ADDED,1
Nikki,Nikki,ADDED,3
ShonagonBot,ShonagonBot,ADDED,1
Chaotic Good,Chaotic Good,ADDED,1
2003:66:8F54:3D0E:3085:BF58:2C53:1192,2003:66:8F54:3D0E:3085:BF58:2C53:1192,ADDED,2
2003:66:8F4B:C81E:30E2:AE5F:19D0:B1EE,2003:66:8F4B:C81E:30E2:AE5F:19D0:B1EE,ADDED,1
Andreasmperu,Andreasmperu,ADDED,1
Reinheitsgebot,Reinheitsgebot,ADDED,6
GuzzyG,GuzzyG,ADDED,1
Allen4names,Allen4names,ADDED,1
NikkiBot,NikkiBot,ADDED,1
Irn,Irn,ADDED,1
WikiDataMovieDB,WikiDataMovieDB,ADDED,4
DavidMar86hdf,DavidMar86hdf,ADDED,2
Quenhitran,Quenhitran,ADDED,2
Chetankale1978,Chetankale1978,ADDED,1
Salgo60,Salgo60,ADDED,5
Thinkcontext,Thinkcontext,ADDED,2
Thierry Caro,Thierry Caro,ADDED,3
Kooma,Kooma,ADDED,1
Mippzon,Mippzon,ADDED,1
Pigsonthewing-bot,Pigsonthewing-bot,ADDED,1
Spinster,Spinster,ADDED,1
Helgi-S,Helgi-S,ADDED,1
Jc86035,Jc86035,ADDED,3
MatSuBot,MatSuBot,ADDED,1
Bamyers99,Bamyers99,ADDED,1
Kiwonik,Kiwonik,ADDED,1
Lockal,Lockal,ADDED,6
Prcondo,Prcondo,ADDED,1
Envlh,Envlh,ADDED,1
Jane023,Jane023,ADDED,1
UNDISPUTED,UNDISPUTED,ADDED,1
Maxlath,Maxlath,ADDED,1
Zenfiric,Zenfiric,ADDED,2
Pintoch,Pintoch,ADDED,2
26 Ramadan,26 Ramadan,ADDED,1
YFdyh000,YFdyh000,ADDED,1
Engelbert,Engelbert,ADDED,1
Lymantria,Lymantria,ADDED,1
Cwf97,Cwf97,ADDED,1
Ohmyerica,Ohmyerica,ADDED,1
Sotho Tal Ker,Sotho Tal Ker,ADDED,8
Mewtwowimmer,Mewtwowimmer,ADDED,1
Moebeus,Moebeus,ADDED,3
Kam Solusar,Kam Solusar,ADDED,34
Pigsonthewing,Pigsonthewing,ADDED,1
Trivialist,Trivialist,ADDED,2
Abdel Rahman Hany Muhamed,Abdel Rahman Hany Muhamed,ADDED,5
Obsuser,Obsuser,ADDED,1
GerardM,GerardM,ADDED,1
Btcprox,Btcprox,ADDED,2
Trade,Trade,ADDED,19
Vojtěch Dostál,Vojtěch Dostál,ADDED,3
&beer&love,&beer&love,ADDED,1
Ghuron,Ghuron,ADDED,1
Tinker Bell,Tinker Bell,ADDED,1
GryffindorD,GryffindorD,ADDED,3
BrokenSegue,BrokenSegue,ADDED,2
Vladimir Alexiev,Vladimir Alexiev,ADDED,1
Aliensh92,Aliensh92,ADDED,1
Minerva97,Minerva97,ADDED,2
AdamSeattle,AdamSeattle,ADDED,3
Ontogon,Ontogon,ADDED,172
I'mfeistyincognito,I'mfeistyincognito,ADDED,2
Hanif Al Husaini,Hanif Al Husaini,ADDED,1
Pamputt,Pamputt,ADDED,1
Frlgin,Frlgin,ADDED,1
BorkedBot,BorkedBot,ADDED,1
Gyrostat,Gyrostat,ADDED,1
Yupik,Yupik,ADDED,2
Alneth,Alneth,ADDED,1
Pacostein,Pacostein,ADDED,1
LimaMarioBot,LimaMarioBot,ADDED,1
SINGmeAsadSONG,SINGmeAsadSONG,ADDED,1
Hamedkazemi2,Hamedkazemi2,ADDED,2
Soweego bot,Soweego bot,ADDED,2
Bargioni,Bargioni,ADDED,1
La loi et la justice,La loi et la justice,ADDED,1
Meisam,Meisam,ADDED,1
Valentina.Anitnelav,Valentina.Anitnelav,ADDED,1
Kethyga,Kethyga,ADDED,2
Kirilloparma,Kirilloparma,ADDED,1
Gerwoman,Gerwoman,ADDED,1
Bigbossfarin,Bigbossfarin,ADDED,1
