Source,Target,interaction_type
J36miles,J36miles,ADDED
Karthikndr,Karthikndr,ADDED
Karthikndr,Karthikndr,ADDED
Legobot,Legobot,ADDED
Legobot,Legobot,ADDED
Happy5214,Happy5214,ADDED
Dexbot,Dexbot,ADDED
Dexbot,Dexbot,ADDED
Snow Blizzard,Snow Blizzard,ADDED
Snow Blizzard,Snow Blizzard,ADDED
VIAFbot,VIAFbot,ADDED
VIAFbot,VIAFbot,ADDED
MineoBot,MineoBot,ADDED
SamoaBot,SamoaBot,ADDED
SamoaBot,SamoaBot,ADDED
SamoaBot,SamoaBot,ADDED
F705i,F705i,ADDED
Legoktm,Legoktm,ADDED
BotMultichill,BotMultichill,ADDED
BotMultichill,BotMultichill,ADDED
KLBot2,KLBot2,ADDED
KrBot,KrBot,ADDED
KrBot,KrBot,ADDED
GPUBot,GPUBot,ADDED
UnderlyingBot,UnderlyingBot,ADDED
Haplology,Haplology,ADDED
AmaryllisGardener,AmaryllisGardener,ADDED
AmaryllisGardener,AmaryllisGardener,ADDED
AmaryllisGardener,AmaryllisGardener,ADDED
Pasleim,Pasleim,ADDED
Jura1,Jura1,ADDED
Jura1,Jura1,ADDED
SweetBot,SweetBot,ADDED
99.237.103.23,99.237.103.23,ADDED
RobotMichiel1972,RobotMichiel1972,ADDED
KasparBot,KasparBot,ADDED
KasparBot,KasparBot,ADDED
Andre Engels,Andre Engels,ADDED
Wylve,Wylve,ADDED
PLbot,PLbot,ADDED
PLbot,PLbot,ADDED
PLbot,PLbot,ADDED
PLbot,PLbot,ADDED
PLbot,PLbot,ADDED
Damian Vo,Damian Vo,ADDED
Damian Vo,Damian Vo,ADDED
Vlsergey,Vlsergey,ADDED
Nikki,Nikki,ADDED
Nikki,Nikki,ADDED
Nikki,Nikki,ADDED
ShonagonBot,ShonagonBot,ADDED
Chaotic Good,Chaotic Good,ADDED
2003:66:8F54:3D0E:3085:BF58:2C53:1192,2003:66:8F54:3D0E:3085:BF58:2C53:1192,ADDED
2003:66:8F54:3D0E:3085:BF58:2C53:1192,2003:66:8F54:3D0E:3085:BF58:2C53:1192,ADDED
2003:66:8F4B:C81E:30E2:AE5F:19D0:B1EE,2003:66:8F4B:C81E:30E2:AE5F:19D0:B1EE,ADDED
Andreasmperu,Andreasmperu,ADDED
Reinheitsgebot,Reinheitsgebot,ADDED
Reinheitsgebot,Reinheitsgebot,ADDED
Reinheitsgebot,Reinheitsgebot,ADDED
Reinheitsgebot,Reinheitsgebot,ADDED
Reinheitsgebot,Reinheitsgebot,ADDED
Reinheitsgebot,Reinheitsgebot,ADDED
GuzzyG,GuzzyG,ADDED
Allen4names,Allen4names,ADDED
NikkiBot,NikkiBot,ADDED
Irn,Irn,ADDED
WikiDataMovieDB,WikiDataMovieDB,ADDED
WikiDataMovieDB,WikiDataMovieDB,ADDED
WikiDataMovieDB,WikiDataMovieDB,ADDED
WikiDataMovieDB,WikiDataMovieDB,ADDED
DavidMar86hdf,DavidMar86hdf,ADDED
DavidMar86hdf,DavidMar86hdf,ADDED
Quenhitran,Quenhitran,ADDED
Quenhitran,Quenhitran,ADDED
Chetankale1978,Chetankale1978,ADDED
Salgo60,Salgo60,ADDED
Salgo60,Salgo60,ADDED
Salgo60,Salgo60,ADDED
Salgo60,Salgo60,ADDED
Salgo60,Salgo60,ADDED
Thinkcontext,Thinkcontext,ADDED
Thinkcontext,Thinkcontext,ADDED
Thierry Caro,Thierry Caro,ADDED
Thierry Caro,Thierry Caro,ADDED
Thierry Caro,Thierry Caro,ADDED
Kooma,Kooma,ADDED
Mippzon,Mippzon,ADDED
Pigsonthewing-bot,Pigsonthewing-bot,ADDED
Spinster,Spinster,ADDED
Helgi-S,Helgi-S,ADDED
Jc86035,Jc86035,ADDED
Jc86035,Jc86035,ADDED
Jc86035,Jc86035,ADDED
MatSuBot,MatSuBot,ADDED
Bamyers99,Bamyers99,ADDED
Kiwonik,Kiwonik,ADDED
Lockal,Lockal,ADDED
Lockal,Lockal,ADDED
Lockal,Lockal,ADDED
Lockal,Lockal,ADDED
Lockal,Lockal,ADDED
Lockal,Lockal,ADDED
Prcondo,Prcondo,ADDED
Envlh,Envlh,ADDED
Jane023,Jane023,ADDED
UNDISPUTED,UNDISPUTED,ADDED
Maxlath,Maxlath,ADDED
Zenfiric,Zenfiric,ADDED
Zenfiric,Zenfiric,ADDED
Pintoch,Pintoch,ADDED
Pintoch,Pintoch,ADDED
26 Ramadan,26 Ramadan,ADDED
YFdyh000,YFdyh000,ADDED
Engelbert,Engelbert,ADDED
Lymantria,Lymantria,ADDED
Cwf97,Cwf97,ADDED
Ohmyerica,Ohmyerica,ADDED
