Source,Target,interaction_type,group
J36miles,J36miles,ADDED,taylor_swift
Karthikndr,Karthikndr,ADDED,taylor_swift
Karthikndr,Karthikndr,ADDED,taylor_swift
Legobot,Legobot,ADDED,taylor_swift
Legobot,Legobot,ADDED,taylor_swift
Happy5214,Happy5214,ADDED,taylor_swift
Dexbot,Dexbot,ADDED,taylor_swift
Dexbot,Dexbot,ADDED,taylor_swift
Snow Blizzard,Snow Blizzard,ADDED,taylor_swift
Snow Blizzard,Snow Blizzard,ADDED,taylor_swift
VIAFbot,VIAFbot,ADDED,taylor_swift
VIAFbot,VIAFbot,ADDED,taylor_swift
MineoBot,MineoBot,ADDED,taylor_swift
SamoaBot,SamoaBot,ADDED,taylor_swift
SamoaBot,SamoaBot,ADDED,taylor_swift
SamoaBot,SamoaBot,ADDED,taylor_swift
F705i,F705i,ADDED,taylor_swift
Legoktm,Legoktm,ADDED,taylor_swift
BotMultichill,BotMultichill,ADDED,taylor_swift
BotMultichill,BotMultichill,ADDED,taylor_swift
KLBot2,KLBot2,ADDED,taylor_swift
KrBot,KrBot,ADDED,taylor_swift
KrBot,KrBot,ADDED,taylor_swift
GPUBot,GPUBot,ADDED,taylor_swift
UnderlyingBot,UnderlyingBot,ADDED,taylor_swift
Haplology,Haplology,ADDED,taylor_swift
AmaryllisGardener,AmaryllisGardener,ADDED,taylor_swift
AmaryllisGardener,AmaryllisGardener,ADDED,taylor_swift
AmaryllisGardener,AmaryllisGardener,ADDED,taylor_swift
Pasleim,Pasleim,ADDED,taylor_swift
Jura1,Jura1,ADDED,taylor_swift
Jura1,Jura1,ADDED,taylor_swift
SweetBot,SweetBot,ADDED,taylor_swift
99.237.103.23,99.237.103.23,ADDED,taylor_swift
RobotMichiel1972,RobotMichiel1972,ADDED,taylor_swift
KasparBot,KasparBot,ADDED,taylor_swift
KasparBot,KasparBot,ADDED,taylor_swift
Andre Engels,Andre Engels,ADDED,taylor_swift
Wylve,Wylve,ADDED,taylor_swift
PLbot,PLbot,ADDED,taylor_swift
PLbot,PLbot,ADDED,taylor_swift
PLbot,PLbot,ADDED,taylor_swift
PLbot,PLbot,ADDED,taylor_swift
PLbot,PLbot,ADDED,taylor_swift
Damian Vo,Damian Vo,ADDED,taylor_swift
Damian Vo,Damian Vo,ADDED,taylor_swift
Vlsergey,Vlsergey,ADDED,taylor_swift
Nikki,Nikki,ADDED,taylor_swift
Nikki,Nikki,ADDED,taylor_swift
Nikki,Nikki,ADDED,taylor_swift
ShonagonBot,ShonagonBot,ADDED,taylor_swift
Chaotic Good,Chaotic Good,ADDED,taylor_swift
2003:66:8F54:3D0E:3085:BF58:2C53:1192,2003:66:8F54:3D0E:3085:BF58:2C53:1192,ADDED,taylor_swift
2003:66:8F54:3D0E:3085:BF58:2C53:1192,2003:66:8F54:3D0E:3085:BF58:2C53:1192,ADDED,taylor_swift
2003:66:8F4B:C81E:30E2:AE5F:19D0:B1EE,2003:66:8F4B:C81E:30E2:AE5F:19D0:B1EE,ADDED,taylor_swift
Andreasmperu,Andreasmperu,ADDED,taylor_swift
Reinheitsgebot,Reinheitsgebot,ADDED,taylor_swift
Reinheitsgebot,Reinheitsgebot,ADDED,taylor_swift
Reinheitsgebot,Reinheitsgebot,ADDED,taylor_swift
