Id,added_words,WordCount,Lat,Long
Bob08,1,0,0,0
Josh404Bot,1,0,0,0
OsamaK,0,0,0,0
Remitamine,0,0,0,0
78.39.249.113,4,0,0,0
Epìdosis,0,0,0,0
Premeditated,1,0,0,0
Lockal,1,0,0,0
Vycl1994,9,0,0,0
Quesotiotyo,2,0,0,0
MsynBot,1,0,0,0
Laddo,1,0,0,0
Bargioni,1,0,0,0
INS Pirat,1,0,0,0
MileyCytrus,0,0,0,0
M2k~dewiki,1,0,0,0
Vladimir Alexiev,1,0,0,0
SlingWikiBot,1,0,0,0
BotMultichillT,1,0,0,0
Euro know,7,0,0,0
Luckyz,1,0,0,0
ISNIplus,0,0,0,0
Ghuron,2,0,0,0
DontCallMeLateForDinner,1,0,0,0
Thierry Caro,1,0,0,0
Multichill,0,0,0,0
Emijrpbot,0,0,0,0
KrBot,1,0,0,0
BrokenSegue,1,0,0,0
Kukurydziarz,0,0,0,0
Tom Morris,1,0,0,0
Hameltion,0,0,0,0
BorkedBot,1,0,0,0
86.247.140.253,1,0,0,0
Matlin,1,0,0,0
SillyWolverène,1,0,0,0
24.224.234.105,0,0,0,0
Mod,0,0,0,0
VojtěchDostálBot,0,0,0,0
Tinker Bell,1,0,0,0
Reinheitsgebot,2,0,0,0
Simon Villeneuve,2,0,0,0
Soweego bot,2,0,0,0
