Id,added_words,WordCount,Lat,Long,group
KasparBot,2,0,0,0,taylor_swift
Gereon K.,0,0,0,0,taylor_swift
Pasleim,1,0,0,0,taylor_swift
Bargioni,2,0,0,0,both
Miikul,1,0,0,0,taylor_swift
GerardM,1,0,0,0,taylor_swift
FocalPoint,0,0,0,0,taylor_swift
UndefinedRachel,0,0,0,0,taylor_swift
RealityBites,0,0,0,0,taylor_swift
Jmimo98,0,0,0,0,taylor_swift
GuzzyG,1,0,0,0,taylor_swift
DeltaBot,1,0,0,0,taylor_swift
Aliensh92,1,0,0,0,taylor_swift
MineoBot,1,0,0,0,taylor_swift
Davidpar,0,0,0,0,taylor_swift
83.202.137.163,0,0,0,0,taylor_swift
Hamuli,1,0,0,0,taylor_swift
Lasius,0,0,0,0,taylor_swift
Achim Raschka,0,0,0,0,taylor_swift
Haseeb55,0,0,0,0,taylor_swift
27.60.169.204,0,0,0,0,taylor_swift
Matlin,1,0,0,0,both
Faithandmollyrock,0,0,0,0,taylor_swift
DavidMar86hdf,2,0,0,0,taylor_swift
Mewtwowimmer,1,0,0,0,taylor_swift
BrokenSegue,3,0,0,0,both
37.106.132.107,0,0,0,0,taylor_swift
Happy5214,1,0,0,0,taylor_swift
Frlgin,1,0,0,0,taylor_swift
CommonsDelinker,0,0,0,0,taylor_swift
Lovelano,2,0,0,0,taylor_swift
Hanif Al Husaini,1,0,0,0,taylor_swift
Jared Preston,0,0,0,0,taylor_swift
Vojtěch Dostál,3,0,0,0,taylor_swift
Epìdosis,1,0,0,0,both
Pamputt,1,0,0,0,taylor_swift
Danrok,0,0,0,0,taylor_swift
GryffindorD,3,0,0,0,taylor_swift
Amadalvarez,1,0,0,0,taylor_swift
Haplology,1,0,0,0,taylor_swift
Do not follow,0,0,0,0,taylor_swift
217.114.169.254,0,0,0,0,taylor_swift
Gregory Jose Ramirez Silva,0,0,0,0,taylor_swift
Dux Oppositionis,1,0,0,0,taylor_swift
2003:66:8F4B:C81E:30E2:AE5F:19D0:B1EE,1,0,0,0,taylor_swift
Arbnos,0,0,0,0,taylor_swift
170.178.137.5,0,0,0,0,taylor_swift
Overcast07,0,0,0,0,taylor_swift
Iamcarbon,0,0,0,0,taylor_swift
Reannie2394,0,0,0,0,taylor_swift
Arivgao,0,0,0,0,taylor_swift
VIAFbot,2,0,0,0,taylor_swift
DifoolBot,0,0,0,0,taylor_swift
Frostly,0,0,0,0,taylor_swift
Thinkcontext,2,0,0,0,taylor_swift
Rubystaramaryllis,0,0,0,0,taylor_swift
Andreasmperu,1,0,0,0,taylor_swift
KababyZMinsem,1,0,0,0,taylor_swift
Zaccarias,0,0,0,0,taylor_swift
