Id,added_words,WordCount,Lat,Long
KasparBot,2,0,0,0
Gereon K.,0,0,0,0
Pasleim,1,0,0,0
Bargioni,1,0,0,0
Miikul,1,0,0,0
GerardM,1,0,0,0
FocalPoint,0,0,0,0
UndefinedRachel,0,0,0,0
RealityBites,0,0,0,0
Jmimo98,0,0,0,0
GuzzyG,1,0,0,0
DeltaBot,1,0,0,0
Aliensh92,1,0,0,0
MineoBot,1,0,0,0
Davidpar,0,0,0,0
83.202.137.163,0,0,0,0
Hamuli,1,0,0,0
Lasius,0,0,0,0
Achim Raschka,0,0,0,0
Haseeb55,0,0,0,0
27.60.169.204,0,0,0,0
Matlin,0,0,0,0
Faithandmollyrock,0,0,0,0
DavidMar86hdf,2,0,0,0
Mewtwowimmer,1,0,0,0
BrokenSegue,2,0,0,0
37.106.132.107,0,0,0,0
Happy5214,1,0,0,0
Frlgin,1,0,0,0
CommonsDelinker,0,0,0,0
Lovelano,2,0,0,0
Hanif Al Husaini,1,0,0,0
Jared Preston,0,0,0,0
Vojtěch Dostál,3,0,0,0
Epìdosis,1,0,0,0
Pamputt,1,0,0,0
Danrok,0,0,0,0
GryffindorD,3,0,0,0
Amadalvarez,1,0,0,0
Haplology,1,0,0,0
Do not follow,0,0,0,0
217.114.169.254,0,0,0,0
Gregory Jose Ramirez Silva,0,0,0,0
Dux Oppositionis,1,0,0,0
2003:66:8F4B:C81E:30E2:AE5F:19D0:B1EE,1,0,0,0
Arbnos,0,0,0,0
170.178.137.5,0,0,0,0
Overcast07,0,0,0,0
Iamcarbon,0,0,0,0
Reannie2394,0,0,0,0
Arivgao,0,0,0,0
VIAFbot,2,0,0,0
DifoolBot,0,0,0,0
Frostly,0,0,0,0
Thinkcontext,2,0,0,0
Rubystaramaryllis,0,0,0,0
Andreasmperu,1,0,0,0
KababyZMinsem,1,0,0,0
Zaccarias,0,0,0,0
Al-Dandoon,0,0,0,0
Salgo60,5,0,0,0
Mippzon,1,0,0,0
2601:2C6:4B80:1B25:E144:28FE:2EC7:A585,0,0,0,0
Ceaseless Watcher,0,0,0,0
2800:484:4C80:4250:65DE:136F:C5D0:E042,0,0,0,0
Dexbot,2,0,0,0
Quenhitran,2,0,0,0
ShifaYT,0,0,0,0
Quick-ease2020,0,0,0,0
ShonagonBot,1,0,0,0
Allen4names,1,0,0,0
Maxlath,1,0,0,0
174.34.4.36,0,0,0,0
Gikü,0,0,0,0
Finnius00,1,0,0,0
Jura1,2,0,0,0
EpidòseosBot,0,0,0,0
2001:B07:A14:4338:7C10:8478:CF53:59A1,0,0,0,0
Njzjz,0,0,0,0
Botcrux,0,0,0,0
Matixd019,0,0,0,0
Rommeliosva,0,0,0,0
Valentina.Anitnelav,1,0,0,0
Okras,0,0,0,0
Vlsergey,1,0,0,0
Vanbasten 23,0,0,0,0
Alex Cohn,0,0,0,0
PLbot,5,0,0,0
KrBot,2,0,0,0
Wylve,1,0,0,0
Edward,0,0,0,0
Nhphuongltv,0,0,0,0
AgorahillsCW,0,0,0,0
Slasher-fun,0,0,0,0
Andre Engels,1,0,0,0
Väsk,0,0,0,0
Hari Paudyel,0,0,0,0
Trivialist,2,0,0,0
96.32.122.6,0,0,0,0
12u,0,0,0,0
AR.GNV,0,0,0,0
Gumruch,4,0,0,0
88.26.229.119,0,0,0,0
Laftp0,1,0,0,0
Blackcat,0,0,0,0
AwkwardChester,0,0,0,0
Gerwoman,1,0,0,0
Zenfiric,2,0,0,0
Kcx36,0,0,0,0
Btcprox,2,0,0,0
OsamaK,0,0,0,0
Ayack,1,0,0,0
Ajraddatz,0,0,0,0
112.134.37.37,0,0,0,0
Abdel Rahman Hany Muhamed,5,0,0,0
Twofivesixbot,0,0,0,0
190.232.61.5,0,0,0,0
Lockal,6,0,0,0
Simona vy,0,0,0,0
BotMultichill,2,0,0,0
NikkiBot,1,0,0,0
Wikibility,0,0,0,0
Pyb en résidence,1,0,0,0
Franzekafka,0,0,0,0
Geraldo Perez,0,0,0,0
Rezabot,0,0,0,0
Keepwishes,1,0,0,0
Gyrostat,1,0,0,0
Jasper Deng,0,0,0,0
BartocX,0,0,0,0
Tinker Bell,1,0,0,0
Ben Skála,0,0,0,0
101.100.11.34,0,0,0,0
Abdu Hany,0,0,0,0
Rorschach,0,0,0,0
SilentSpikeBot,0,0,0,0
Jane023,1,0,0,0
Kam Solusar,34,0,0,0
MidleadingBot,1,0,0,0
170.185.92.17,0,0,0,0
72.70.37.196,0,0,0,0
181.163.215.230,0,0,0,0
JJMC89,0,0,0,0
Xdtp,1,0,0,0
Meno25,0,0,0,0
F705i,1,0,0,0
2601:18D:4700:949F:DC53:4FFE:5450:A7D9,0,0,0,0
Legobot,2,0,0,0
66.229.136.167,0,0,0,0
216.56.81.226,0,0,0,0
Ontogon,172,0,0,0
Innotata,0,0,0,0
Lolza81,2,0,0,0
DinaHerbert,1,0,0,0
152.26.194.40,0,0,0,0
191.82.52.94,0,0,0,0
Hddty,0,0,0,0
Solidest,0,0,0,0
AGbot,0,0,0,0
Kethyga,2,0,0,0
A1AA1A,0,0,0,0
Hatto,0,0,0,0
62.171.198.5,0,0,0,0
SourcererBot,0,0,0,0
INS Pirat,2,0,0,0
TheSandDoctor,0,0,0,0
2A01:6500:A040:369B:17CD:67F5:56D:1A00,0,0,0,0
Rschen7754,0,0,0,0
Pigsonthewing-bot,1,0,0,0
Pacostein,1,0,0,0
Ameisenigel,1,0,0,0
Saeedswift,0,0,0,0
Taytaycat,0,0,0,0
Kirilloparma,1,0,0,0
Nvrandow,1,0,0,0
Adrianmartinezuwu,1,0,0,0
Brunnaiz,0,0,0,0
2601:18D:4700:949F:C87C:F1F0:4A9:45DE,0,0,0,0
Paulohmessias,0,0,0,0
UnderlyingBot,1,0,0,0
Damian Vo,2,0,0,0
Chetankale1978,1,0,0,0
ItsMario97,0,0,0,0
Stryn,0,0,0,0
GilPe,0,0,0,0
William Avery Bot,0,0,0,0
User123o987name,0,0,0,0
Josh404Bot,0,0,0,0
Horcrux,1,0,0,0
Karthikndr,2,0,0,0
Hello513,0,0,0,0
177.91.254.3,0,0,0,0
Kenna 1D lover Niall,0,0,0,0
La loi et la justice,1,0,0,0
95.12.198.245,0,0,0,0
EnaldoSS,0,0,0,0
189.214.3.176,0,0,0,0
BorkedBot,1,0,0,0
Thierry Caro,3,0,0,0
Helgi-S,1,0,0,0
SINGmeAsadSONG,1,0,0,0
Alneth,1,0,0,0
Chaotic Good,1,0,0,0
Jorgedelatc,1,0,0,0
Sldst-bot,0,0,0,0
99.237.103.23,1,0,0,0
Wolverène,0,0,0,0
ValterVBot,0,0,0,0
Bcxfu75k,0,0,0,0
Flávio Nuno Neves Rodrigues,0,0,0,0
Escudero,1,0,0,0
Remitamine,0,0,0,0
Jc86035,3,0,0,0
2A02:1810:4F2B:6500:6DAA:17C0:55CA:B1E5,0,0,0,0
Snow Blizzard,2,0,0,0
205.133.147.153,0,0,0,0
Sporti,0,0,0,0
Ghuron,1,0,0,0
Cwf97,1,0,0,0
Hamedkazemi2,2,0,0,0
26 Ramadan,1,0,0,0
Pigsonthewing,1,0,0,0
194.83.172.71,0,0,0,0
Irn,1,0,0,0
KLBot2,1,0,0,0
Reinheitsgebot,6,0,0,0
Kooma,1,0,0,0
Sotho Tal Ker,8,0,0,0
VojtěchDostálBot,0,0,0,0
207.102.180.121,0,0,0,0
Frettiebot,1,0,0,0
Սահակ,0,0,0,0
Mbchbot,0,0,0,0
Kiwonik,1,0,0,0
Quesotiotyo,3,0,0,0
Jakeob9000,0,0,0,0
Morrelln,1,0,0,0
213.57.147.126,0,0,0,0
Spinster,1,0,0,0
GPUBot,1,0,0,0
Asav,0,0,0,0
Zuphilip,0,0,0,0
Minerva97,2,0,0,0
Yuriklim,1,0,0,0
&beer&love,1,0,0,0
Engelbert,1,0,0,0
Nikki,3,0,0,0
SweetBot,1,0,0,0
187.138.151.33,0,0,0,0
Salpynx,0,0,0,0
Harmonia Amanda,0,0,0,0
McMurphy2246,2,0,0,0
Lewis Hulbert,1,0,0,0
Toglenn,0,0,0,0
Jon Harald Søby,0,0,0,0
Spinster300,1,0,0,0
AdamSeattle,3,0,0,0
WikiDataMovieDB,4,0,0,0
LimaMarioBot,1,0,0,0
82.166.126.149,0,0,0,0
108.28.97.214,0,0,0,0
AmaryllisGardener,3,0,0,0
SamoaBot,3,0,0,0
176.19.235.3,0,0,0,0
Vladimir Alexiev,1,0,0,0
85.250.187.207,0,0,0,0
71.163.61.144,0,0,0,0
Bamyers99,1,0,0,0
YFdyh000,1,0,0,0
Coyau,0,0,0,0
72.142.76.228,0,0,0,0
187.200.178.56,0,0,0,0
Prcondo,1,0,0,0
MsynBot,0,0,0,0
Yerpo,0,0,0,0
Meisam,1,0,0,0
Aleneitor,0,0,0,0
M2k~dewiki,1,0,0,0
MatSuBot,1,0,0,0
Алиса Селезньова,0,0,0,0
Lymantria,1,0,0,0
I'mfeistyincognito,2,0,0,0
