Source,Target,interaction_type,predicate,entity,revision_ids
KLBot2,KLBot2,create,P373,Q37200,33063516
KLBot2,158.248.51.232,edit,P373,Q37200,1384901878
158.248.51.232,Do not follow,edit,P373,Q37200,1384904133
KLBot2,KLBot2,create,P625,Q37200,50818269
KLBot2,88.16.13.12,edit,P625,Q37200,622969412
88.16.13.12,Abductive,edit,P625,Q37200,959812618
Abductive,95.65.48.179,edit,P625,Q37200,1304830527
95.65.48.179,Epìdosis,edit,P625,Q37200,1304903869
Epìdosis,67.226.221.24,edit,P625,Q37200,1316905009
67.226.221.24,Epìdosis,edit,P625,Q37200,1317003035
Epìdosis,Jeffphp,edit,P625,Q37200,1880859737
Boulaur,Boulaur,create,P107,Q37200,61918352
Boulaur,Emw,delete,P107,Q37200,74436874
Boulaur,Boulaur,create,P17,Q37200,61918360
Boulaur,200.74.149.170,edit,P17,Q37200,358007140
200.74.149.170,YMS,edit,P17,Q37200,358055473
YMS,202.59.75.5,edit,P17,Q37200,549458988
202.59.75.5,YMS,edit,P17,Q37200,549478292
YMS,66.85.123.194,edit,P17,Q37200,581743490
66.85.123.194,104.158.56.117,edit,P17,Q37200,581979165
104.158.56.117,50.206.152.146,edit,P17,Q37200,590800783
50.206.152.146,Ryanbreaker,edit,P17,Q37200,590811725
Ryanbreaker,82.34.2.134,edit,P17,Q37200,632988837
82.34.2.134,Dexbot,edit,P17,Q37200,632990041
Dexbot,71.255.150.241,edit,P17,Q37200,633999563
71.255.150.241,Dexbot,edit,P17,Q37200,634002090
Dexbot,Arch2all,edit,P17,Q37200,718205304
Arch2all,5.244.184.74,edit,P17,Q37200,912399266
5.244.184.74,Jmh2o,edit,P17,Q37200,912404203
Boulaur,Boulaur,create,P31,Q37200,61918378
Boulaur,Zolo,edit,P31,Q37200,145104918
Zolo,Lawrencetroup,edit,P31,Q37200,289538373
Lawrencetroup,TomT0m,edit,P31,Q37200,991521262
TomT0m,Egermundson,edit,P31,Q37200,1008274414
Egermundson,90.74.204.144,edit,P31,Q37200,1035171232
90.74.204.144,Шкурба Андрій Вікторович,edit,P31,Q37200,1035185170
Шкурба Андрій Вікторович,KrBot,edit,P31,Q37200,1293497685
KrBot,2A02:2F08:840D:7200:E412:D013:1331:B5D0,edit,P31,Q37200,1318726122
2A02:2F08:840D:7200:E412:D013:1331:B5D0,Jahl de Vautban,edit,P31,Q37200,1318732942
Jahl de Vautban,119.237.95.160,edit,P31,Q37200,1324720293
119.237.95.160,Jahl de Vautban,edit,P31,Q37200,1324730505
Jahl de Vautban,Infovarius,edit,P31,Q37200,1919888818
Infovarius,Yotwen,edit,P31,Q37200,1933425728
Yotwen,Arch2bot,edit,P31,Q37200,1949480907
Boulaur,Boulaur,create,P18,Q37200,61918433
Boulaur,14.141.249.146,edit,P18,Q37200,566912872
14.141.249.146,Narek75,delete,P18,Q37200,588245957
Manu1400,Manu1400,create,P18,Q37200,606470896
Manu1400,43.251.255.4,edit,P18,Q37200,1398102096
43.251.255.4,Epìdosis,edit,P18,Q37200,1398208977
Boulaur,Boulaur,create,P242,Q37200,61918438
Boulaur,Nvrandow,delete,P242,Q37200,776818985
Nvrandow,Nvrandow,create,P242,Q37200,776819011
Nvrandow,2001:8003:209B:C100:10A9:FAB5:BF12:FD05,edit,P242,Q37200,1176207062
2001:8003:209B:C100:10A9:FAB5:BF12:FD05,Epìdosis,edit,P242,Q37200,1176216215
Epìdosis,Treisijs,delete,P242,Q37200,1278107214
AudeBot,AudeBot,create,P131,Q37200,61932359
AudeBot,Yiyi,edit,P131,Q37200,92192076
Yiyi,Dexbot,edit,P131,Q37200,95987626
Dexbot,150.104.38.71,edit,P131,Q37200,282236623
150.104.38.71,HakanIST,edit,P131,Q37200,282237431
HakanIST,181.201.100.155,edit,P131,Q37200,373776125
181.201.100.155,Mitsubayashi13,edit,P131,Q37200,464473705
Mitsubayashi13,150.176.138.124,edit,P131,Q37200,590298604
150.176.138.124,2A02:C7D:125E:9D00:7454:41EB:5939:6725,delete,P131,Q37200,590539646
