Id,Label,added_predicates,entity_color
KLBot2,KLBot2,2,green
158.248.51.232,158.248.51.232,0,blue
Do not follow,Do not follow,0,blue
88.16.13.12,88.16.13.12,0,blue
Abductive,Abductive,0,blue
95.65.48.179,95.65.48.179,0,blue
Epìdosis,Epìdosis,6,blue
67.226.221.24,67.226.221.24,0,blue
Jeffphp,Jeffphp,0,blue
Boulaur,Boulaur,5,blue
Emw,Emw,0,blue
200.74.149.170,200.74.149.170,0,blue
YMS,YMS,3,green
202.59.75.5,202.59.75.5,0,blue
66.85.123.194,66.85.123.194,0,blue
104.158.56.117,104.158.56.117,0,blue
50.206.152.146,50.206.152.146,0,blue
Ryanbreaker,Ryanbreaker,0,blue
82.34.2.134,82.34.2.134,0,blue
Dexbot,Dexbot,0,blue
71.255.150.241,71.255.150.241,0,blue
Arch2all,Arch2all,0,green
5.244.184.74,5.244.184.74,0,blue
Jmh2o,Jmh2o,0,blue
Zolo,Zolo,1,blue
Lawrencetroup,Lawrencetroup,0,blue
TomT0m,TomT0m,0,blue
Egermundson,Egermundson,0,green
90.74.204.144,90.74.204.144,0,blue
Шкурба Андрій Вікторович,Шкурба Андрій Вікторович,1,blue
KrBot,KrBot,2,green
2A02:2F08:840D:7200:E412:D013:1331:B5D0,2A02:2F08:840D:7200:E412:D013:1331:B5D0,0,blue
Jahl de Vautban,Jahl de Vautban,0,blue
119.237.95.160,119.237.95.160,0,blue
Infovarius,Infovarius,0,blue
Yotwen,Yotwen,0,blue
Arch2bot,Arch2bot,0,green
14.141.249.146,14.141.249.146,0,blue
Narek75,Narek75,0,blue
Manu1400,Manu1400,1,blue
43.251.255.4,43.251.255.4,0,blue
Nvrandow,Nvrandow,12,green
2001:8003:209B:C100:10A9:FAB5:BF12:FD05,2001:8003:209B:C100:10A9:FAB5:BF12:FD05,0,blue
Treisijs,Treisijs,2,blue
AudeBot,AudeBot,1,blue
Yiyi,Yiyi,1,blue
150.104.38.71,150.104.38.71,0,blue
HakanIST,HakanIST,0,blue
181.201.100.155,181.201.100.155,0,blue
Mitsubayashi13,Mitsubayashi13,0,blue
150.176.138.124,150.176.138.124,0,blue
2A02:C7D:125E:9D00:7454:41EB:5939:6725,2A02:C7D:125E:9D00:7454:41EB:5939:6725,0,blue
41.42.238.212,41.42.238.212,0,blue
197.37.69.214,197.37.69.214,0,blue
NowProperty,NowProperty,1,blue
MsynBot,MsynBot,0,green
Legobot,Legobot,1,green
Kam Solusar,Kam Solusar,1,green
Sänger,Sänger,0,blue
193.19.168.163,193.19.168.163,0,blue
Zyksnowy,Zyksnowy,0,blue
74.95.3.65,74.95.3.65,0,blue
208.102.64.140,208.102.64.140,0,blue
Oriciu,Oriciu,0,blue
Shisma,Shisma,2,blue
116.68.123.216,116.68.123.216,0,blue
2800:370:48:61D0:E54B:D32C:1D0F:3110,2800:370:48:61D0:E54B:D32C:1D0F:3110,0,blue
HapHaxion,HapHaxion,0,blue
SilentSpike,SilentSpike,0,blue
77.20.254.20,77.20.254.20,0,blue
2A02:2F09:D002:9F00:7078:EF6F:76A4:DD88,2A02:2F09:D002:9F00:7078:EF6F:76A4:DD88,0,blue
92.115.134.82,92.115.134.82,0,blue
ValterVBot,ValterVBot,1,green
173.76.199.132,173.76.199.132,0,blue
PintochBot,PintochBot,1,green
RobotMichiel1972,RobotMichiel1972,3,green
1.144.97.78,1.144.97.78,0,blue
Fetfet14,Fetfet14,0,blue
PLbot,PLbot,0,blue
2A02:2F0B:BF04:6E00:7526:DB17:7847:7F8E,2A02:2F0B:BF04:6E00:7526:DB17:7847:7F8E,0,blue
2A02:2F0E:5215:F00:D17D:F235:AE10:302B,2A02:2F0E:5215:F00:D17D:F235:AE10:302B,0,blue
TudyR1,TudyR1,0,blue
KasparBot,KasparBot,3,green
80.111.251.247,80.111.251.247,0,blue
Widar of zolo,Widar of zolo,1,green
58.171.37.158,58.171.37.158,0,blue
Laddo,Laddo,1,blue
132.184.66.188,132.184.66.188,0,blue
Jheald,Jheald,1,blue
207.253.18.34,207.253.18.34,0,blue
Amadalvarez,Amadalvarez,5,blue
64.141.49.5,64.141.49.5,0,blue
72.53.138.254,72.53.138.254,0,blue
Poulpy,Poulpy,0,blue
Smitch06,Smitch06,1,blue
Pigsonthewing,Pigsonthewing,1,blue
Pigsonthewing-bot,Pigsonthewing-bot,1,green
Amitbjadhav,Amitbjadhav,0,blue
Omert33,Omert33,1,blue
Mr.Ibrahembot,Mr.Ibrahembot,1,blue
89.69.223.40,89.69.223.40,1,blue
Fractaler,Fractaler,1,blue
Pasleim,Pasleim,0,green
99of9,99of9,1,blue
Torquatus,Torquatus,2,blue
INS Pirat,INS Pirat,1,blue
Sldst-bot,Sldst-bot,0,blue
Alotrootropico,Alotrootropico,1,blue
Christmas Wreath,Christmas Wreath,0,blue
Magnus Manske,Magnus Manske,1,blue
Horcrux,Horcrux,0,green
47.61.6.68,47.61.6.68,0,blue
190.237.196.83,190.237.196.83,0,blue
81.92.221.180,81.92.221.180,0,blue
156.194.35.186,156.194.35.186,0,blue
59.148.105.44,59.148.105.44,0,blue
JhealdBatch,JhealdBatch,1,blue
Ecritures,Ecritures,2,blue
Theklan,Theklan,1,green
Df910105,Df910105,1,blue
210.5.173.50,210.5.173.50,0,blue
Tinker Bell,Tinker Bell,3,blue
2A01:E0A:338:23A0:CDAA:BBBE:B8EA:1D73,2A01:E0A:338:23A0:CDAA:BBBE:B8EA:1D73,0,blue
Ameisenigel,Ameisenigel,1,blue
Vladimir Alexiev,Vladimir Alexiev,1,green
ISNIplus,ISNIplus,0,green
Mkbergman,Mkbergman,1,blue
Johnmccrae,Johnmccrae,1,blue
Pi bot,Pi bot,1,blue
Thierry Caro,Thierry Caro,1,blue
Baidax,Baidax,2,blue
Aderiqueza,Aderiqueza,0,green
Charp238,Charp238,3,blue
TyopedcZ657,TyopedcZ657,1,blue
Abraham,Abraham,1,blue
Psk0730,Psk0730,1,blue
Maxlath,Maxlath,0,blue
MineoBot,MineoBot,1,blue
Geagea,Geagea,1,green
BrokenSegue,BrokenSegue,1,blue
Dhx1,Dhx1,1,blue
JordanTimothyJames,JordanTimothyJames,2,blue
C960657,C960657,1,blue
Salgo60,Salgo60,1,green
Quesotiotyo,Quesotiotyo,2,green
Zafer,Zafer,1,blue
Frettie,Frettie,1,blue
IconotecaUSI,IconotecaUSI,1,blue
Alan ffm,Alan ffm,2,red
Dorades,Dorades,3,red
Derzno,Derzno,1,red
AyackBot,AyackBot,3,red
Inkos79,Inkos79,0,red
Sigma'am,Sigma'am,1,red
MidleadingBot,MidleadingBot,0,red
ACBahn,ACBahn,6,red
JAnDbot,JAnDbot,1,red
Lockal,Lockal,0,red
Bthfan,Bthfan,0,red
Grimes2,Grimes2,0,red
Holger1959,Holger1959,1,red
Archer90,Archer90,1,red
KaiMartin,KaiMartin,0,red
DeltaBot,DeltaBot,0,red
2A01:598:B9AF:B6D7:C177:14A1:B824:F4E2,2A01:598:B9AF:B6D7:C177:14A1:B824:F4E2,0,red
2604:5040:11:608:0:0:0:3968,2604:5040:11:608:0:0:0:3968,0,red
87.177.148.95,87.177.148.95,0,red
151.43.34.74,151.43.34.74,0,red
2003:EC:5F0F:BC00:8562:C6D5:7793:C74B,2003:EC:5F0F:BC00:8562:C6D5:7793:C74B,0,red
37.161.113.81,37.161.113.81,0,red
RealityBites,RealityBites,0,red
Kippelboy,Kippelboy,1,red
Ghuron,Ghuron,1,red
MatSuBot,MatSuBot,1,red
Jonathan Groß,Jonathan Groß,1,red
Zaunkönig,Zaunkönig,2,red
Jon Kolbert,Jon Kolbert,0,red
Acka47,Acka47,1,red
Erfurth,Erfurth,0,red
Simon Villeneuve,Simon Villeneuve,1,red
77.22.249.62,77.22.249.62,1,red
Ionenlaser,Ionenlaser,1,red
Pit rock,Pit rock,3,red
Vojtěch Dostál,Vojtěch Dostál,0,red
TextworkerBot,TextworkerBot,1,red
Jura1,Jura1,1,red
Gerwoman,Gerwoman,1,red
J 1982,J 1982,1,red
BorkedBot,BorkedBot,0,red
AdamSeattle,AdamSeattle,1,red
Frlgin,Frlgin,1,red
Daanvr,Daanvr,1,red
Hoa binh,Hoa binh,1,red
4ing,4ing,1,red
Awinkler3,Awinkler3,1,red
Anvilaquarius,Anvilaquarius,1,red
Carsten Steger,Carsten Steger,1,red
Sj1mor,Sj1mor,1,red
ZI Jony,ZI Jony,1,red
RKDdata,RKDdata,1,red
Granpar,Granpar,1,red
Astirmays,Astirmays,1,red
Sadrettin,Sadrettin,1,red
