rev_id,timestamp,user,comment
2365440301,2025-06-22T06:11:38Z,Trivialist,/* wbsetclaim-create:2||1 */ [[Property:P11924]]: covid-19-pandemic
2365440278,2025-06-22T06:11:34Z,Trivialist,/* wbsetclaim-create:2||1 */ [[Property:P11924]]: covid-19
2363704117,2025-06-19T12:20:17Z,Codas,/* wbsetclaim-update:2||1 */ [[Property:P948]]: Covid-19 banner How to wear a non-medical fabric mask safely.png
2363497553,2025-06-19T04:44:48Z,Ganesh boddu,/* wbsetaliases-update:1|te */ nCov2019 వ్యాప్తి కరోనావైరస్ మహమ్మారి
2363497049,2025-06-19T04:43:01Z,Ganesh boddu,/* wbsetaliases-add:1|te */ nCov-2019
2355289088,2025-05-31T19:03:10Z,GeographieMan,"/* wbsetdescription-add:1|sl */ pandemija, ki jo je povzročil virus SARS-CoV-2"
2351947091,2025-05-24T19:38:12Z,Lorenzofavaretto18,/* wbsetdescription-set:1|pt */ pandemia global de COVID-19 causada pelo vírus SARS-CoV-2
2340533636,2025-04-22T08:03:10Z,Epìdosis,"/* wbremoveclaims-remove:1| */ [[Property:P4656]]: https://en.wikipedia.org/wiki/COVID-19_pandemic, #quickstatements; #temporary_batch_1745306796258"
2339243916,2025-04-18T21:43:58Z,Reinheitsgebot,/* wbeditentity-update:0| */ via https://mix-n-match.toolforge.org/#/entry/168613360 ;
2332905202,2025-03-31T15:36:54Z,MatSuBot,/* wbeditentity-update-languages-short:0||jbo */ import labels from sitelinks
2332518897,2025-03-30T12:38:45Z,Steenthbot,"/* wbcreateclaim-create:1| */ [[Property:P5008]]: [[Q133729053]], [[:toollabs:quickstatements/#/batch/244904|batch #244904]]"
2329406270,2025-03-23T17:33:21Z,Rdwnnr,/* wbeditentity-update-languages-short:0||bug */
2327309755,2025-03-19T20:48:43Z,Andre Engels,/* wbsetsitelink-add:1|jbowiki */ lo temci linji be la COVID-19 pandemiku
2313894501,2025-02-19T15:30:07Z,Horcrux,/* wbsetclaim-update:2||1|1 */ [[Property:P10283]]: C3006700255
2313893395,2025-02-19T15:27:13Z,Horcrux,/* wbsetclaim-update:2||1|1 */ [[Property:P2581]]: 25337381n
