Source,Target,Type,Label,Predicate,start,end
NoclaimsBot,Zhenqinli,Directed,edit_flow,P31,2020/01/05,2020/09/10
Zhenqinli,185.197.245.128,Directed,edit_flow,P31,2020/01/05,2020/09/10
185.197.245.128,Daniel Mietchen,Directed,edit_flow,P31,2020/01/05,2020/09/10
Daniel Mietchen,Zhenqinli,Directed,edit_flow,P31,2020/01/05,2020/09/10
Zhenqinli,Dhx1,Directed,edit_flow,P31,2020/01/05,2020/09/10
Dhx1,112.119.86.240,Directed,edit_flow,P31,2020/01/05,2020/09/10
112.119.86.240,Eulenspiegel1,Directed,edit_flow,P31,2020/01/05,2020/09/10
Eulenspiegel1,Zhenqinli,Directed,edit_flow,P31,2020/01/05,2020/09/10
Zhenqinli,BohemianRhapsody,Directed,edit_flow,P31,2020/01/05,2020/09/10
BohemianRhapsody,168.234.201.162,Directed,edit_flow,P31,2020/01/05,2020/09/10
168.234.201.162,Tarnumg,Directed,edit_flow,P31,2020/01/05,2020/09/10
Tarnumg,WTM,Directed,edit_flow,P31,2020/01/05,2020/09/10
WTM,Bjs,Directed,edit_flow,P31,2020/01/05,2020/09/10
Bjs,Jodi.a.schneider,Directed,edit_flow,P31,2020/01/05,2020/09/10
Jodi.a.schneider,TiagoLubiana,Directed,edit_flow,P31,2020/01/05,2020/09/10
TiagoLubiana,Neo-Jay,Directed,edit_flow,P31,2020/01/05,2020/09/10
Neo-Jay,117.211.214.201,Directed,edit_flow,P31,2020/01/05,2020/09/10
117.211.214.201,Haansn08,Directed,edit_flow,P31,2020/01/05,2020/09/10
Haansn08,2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Directed,edit_flow,P31,2020/01/05,2020/09/10
2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Epìdosis,Directed,edit_flow,P31,2020/01/05,2020/09/10
Epìdosis,Zhenqinli,Directed,edit_flow,P31,2020/01/05,2020/09/10
Zhenqinli,58.182.83.199,Directed,edit_flow,P31,2020/01/05,2020/09/10
58.182.83.199,Epìdosis,Directed,edit_flow,P31,2020/01/05,2020/09/10
Epìdosis,Sun8908,Directed,edit_flow,P31,2020/01/05,2020/09/10
Sun8908,103.136.251.3,Directed,edit_flow,P31,2020/01/05,2020/09/10
103.136.251.3,Julián L. Páez,Directed,edit_flow,P31,2020/01/05,2020/09/10
Julián L. Páez,90.244.204.15,Directed,edit_flow,P31,2020/09/10,2021/05/17
90.244.204.15,Julián L. Páez,Directed,edit_flow,P31,2020/09/10,2021/05/17
Julián L. Páez,187.189.148.55,Directed,edit_flow,P31,2020/09/10,2021/05/17
187.189.148.55,Bouzinac,Directed,edit_flow,P31,2020/09/10,2021/05/17
Bouzinac,213.60.84.17,Directed,edit_flow,P31,2020/09/10,2021/05/17
213.60.84.17,Julián L. Páez,Directed,edit_flow,P31,2020/09/10,2021/05/17
Julián L. Páez,78.94.13.251,Directed,edit_flow,P31,2020/09/10,2021/05/17
78.94.13.251,Sun8908,Directed,edit_flow,P31,2020/09/10,2021/05/17
Sun8908,Marchitelli,Directed,edit_flow,P31,2020/09/10,2021/05/17
Marchitelli,Lymantria,Directed,edit_flow,P31,2020/09/10,2021/05/17
Lymantria,86.164.235.33,Directed,edit_flow,P31,2020/09/10,2021/05/17
86.164.235.33,Epìdosis,Directed,edit_flow,P31,2020/09/10,2021/05/17
Epìdosis,Mith,Directed,edit_flow,P31,2021/05/17,2022/01/21
Mith,ChristianKl,Directed,edit_flow,P31,2022/09/27,2023/06/03
ChristianKl,Zhenqinli,Directed,edit_flow,P31,2022/09/27,2023/06/03
Zhenqinli,Swpb,Directed,edit_flow,P31,2024/10/13,2025/06/19
Neo-Jay,Osteologia,Directed,edit_flow,P580,2020/01/05,2020/09/10
Osteologia,U0008355,Directed,edit_flow,P580,2020/01/05,2020/09/10
U0008355,Dhx1,Directed,edit_flow,P580,2020/01/05,2020/09/10
Dhx1,99.87.202.180,Directed,edit_flow,P580,2020/01/05,2020/09/10
99.87.202.180,Tarnumg,Directed,edit_flow,P580,2020/01/05,2020/09/10
Tarnumg,Dhx1,Directed,edit_flow,P580,2020/01/05,2020/09/10
Dhx1,Sun8908,Directed,edit_flow,P580,2020/09/10,2021/05/17
Sun8908,Huntster,Directed,edit_flow,P580,2024/10/13,2025/06/19
Neo-Jay,Dhx1,Directed,edit_flow,P17,2020/01/05,2020/09/10
Dhx1,200.211.11.2,Directed,edit_flow,P17,2020/01/05,2020/09/10
200.211.11.2,Dhx1,Directed,edit_flow,P17,2020/01/05,2020/09/10
Dhx1,Adert,Directed,edit_flow,P17,2020/01/05,2020/09/10
Adert,Dhx1,Directed,edit_flow,P17,2020/01/05,2020/09/10
Dhx1,Adert,Directed,edit_flow,P17,2020/01/05,2020/09/10
Adert,Dhx1,Directed,edit_flow,P17,2020/01/05,2020/09/10
Dhx1,Adert,Directed,edit_flow,P17,2020/01/05,2020/09/10
