Source,Target,Type,Label,Predicate,start,end
NoclaimsBot,Zhenqinli,Directed,edit,P31,1.0,2.0
Zhenqinli,185.197.245.128,Directed,edit,P31,1.0,2.0
185.197.245.128,Daniel Mietchen,Directed,edit,P31,1.0,2.0
Daniel Mietchen,Zhenqinli,Directed,edit,P31,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P31,1.0,2.0
Dhx1,112.119.86.240,Directed,edit,P31,1.0,2.0
112.119.86.240,Eulenspiegel1,Directed,edit,P31,1.0,2.0
Eulenspiegel1,Zhenqinli,Directed,edit,P31,1.0,2.0
Zhenqinli,BohemianRhapsody,Directed,edit,P31,1.0,2.0
BohemianRhapsody,168.234.201.162,Directed,edit,P31,1.0,2.0
168.234.201.162,Tarnumg,Directed,edit,P31,1.0,2.0
Tarnumg,WTM,Directed,edit,P31,1.0,2.0
WTM,Bjs,Directed,edit,P31,1.0,2.0
Bjs,Jodi.a.schneider,Directed,edit,P31,1.0,2.0
Jodi.a.schneider,TiagoLubiana,Directed,edit,P31,1.0,2.0
TiagoLubiana,Neo-Jay,Directed,edit,P31,1.0,2.0
Neo-Jay,117.211.214.201,Directed,edit,P31,1.0,2.0
117.211.214.201,Haansn08,Directed,edit,P31,1.0,2.0
Haansn08,2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Directed,edit,P31,1.0,2.0
2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Epìdosis,Directed,edit,P31,1.0,2.0
Epìdosis,Zhenqinli,Directed,edit,P31,1.0,2.0
Zhenqinli,58.182.83.199,Directed,edit,P31,1.0,2.0
58.182.83.199,Epìdosis,Directed,edit,P31,1.0,2.0
Epìdosis,Sun8908,Directed,edit,P31,1.0,2.0
Sun8908,103.136.251.3,Directed,edit,P31,1.0,2.0
103.136.251.3,Julián L. Páez,Directed,edit,P31,1.0,2.0
Julián L. Páez,90.244.204.15,Directed,edit,P31,1.0,2.0
90.244.204.15,Julián L. Páez,Directed,edit,P31,1.0,2.0
Julián L. Páez,187.189.148.55,Directed,edit,P31,1.0,2.0
187.189.148.55,Bouzinac,Directed,edit,P31,1.0,2.0
Bouzinac,213.60.84.17,Directed,edit,P31,1.0,2.0
213.60.84.17,Julián L. Páez,Directed,edit,P31,1.0,2.0
Julián L. Páez,78.94.13.251,Directed,edit,P31,1.0,2.0
78.94.13.251,Sun8908,Directed,edit,P31,1.0,2.0
Sun8908,Marchitelli,Directed,edit,P31,1.0,2.0
Marchitelli,Lymantria,Directed,edit,P31,1.0,2.0
Lymantria,86.164.235.33,Directed,edit,P31,1.0,2.0
86.164.235.33,Epìdosis,Directed,edit,P31,1.0,2.0
Epìdosis,Mith,Directed,edit,P31,1.0,2.0
Mith,ChristianKl,Directed,edit,P31,2.0,3.0
ChristianKl,Zhenqinli,Directed,edit,P31,2.0,3.0
Zhenqinli,Swpb,Directed,edit,P31,3.0,4.0
Neo-Jay,Osteologia,Directed,edit,P580,1.0,2.0
Osteologia,U0008355,Directed,edit,P580,1.0,2.0
U0008355,Dhx1,Directed,edit,P580,1.0,2.0
Dhx1,99.87.202.180,Directed,edit,P580,1.0,2.0
99.87.202.180,Tarnumg,Directed,edit,P580,1.0,2.0
Tarnumg,Dhx1,Directed,edit,P580,1.0,2.0
Dhx1,Sun8908,Directed,edit,P580,1.0,2.0
Sun8908,Huntster,Directed,edit,P580,3.0,4.0
Neo-Jay,Dhx1,Directed,edit,P17,1.0,2.0
Dhx1,200.211.11.2,Directed,edit,P17,1.0,2.0
200.211.11.2,Dhx1,Directed,edit,P17,1.0,2.0
Dhx1,Adert,Directed,edit,P17,1.0,2.0
Adert,Dhx1,Directed,edit,P17,1.0,2.0
Dhx1,Adert,Directed,edit,P17,1.0,2.0
Adert,Dhx1,Directed,edit,P17,1.0,2.0
Dhx1,Adert,Directed,edit,P17,1.0,2.0
Adert,Cbliu,Directed,edit,P17,1.0,2.0
Cbliu,Salgo60,Directed,edit,P17,1.0,2.0
Salgo60,Davidpar,Directed,edit,P17,1.0,2.0
Davidpar,Adert,Directed,edit,P17,1.0,2.0
Adert,Davidpar,Directed,edit,P17,1.0,2.0
Davidpar,Adert,Directed,edit,P17,1.0,2.0
Adert,Zzme123,Directed,edit,P17,1.0,2.0
Zzme123,Adert,Directed,edit,P17,1.0,2.0
Adert,Neo-Jay,Directed,edit,P17,1.0,2.0
Neo-Jay,JohnShaoWJ,Directed,edit,P17,1.0,2.0
JohnShaoWJ,37.163.62.179,Directed,edit,P17,1.0,2.0
37.163.62.179,Adert,Directed,edit,P17,1.0,2.0
Adert,Neo-Jay,Directed,edit,P17,1.0,2.0
Neo-Jay,Adert,Directed,edit,P17,1.0,2.0
Adert,Neo-Jay,Directed,edit,P17,1.0,2.0
Neo-Jay,Robins7,Directed,edit,P17,1.0,2.0
Robins7,Neo-Jay,Directed,edit,P17,1.0,2.0
Neo-Jay,Robins7,Directed,edit,P17,1.0,2.0
Robins7,168.234.201.162,Directed,edit,P17,1.0,2.0
168.234.201.162,Neo-Jay,Directed,edit,P17,1.0,2.0
Neo-Jay,Fnielsen,Directed,edit,P17,1.0,2.0
Fnielsen,Neo-Jay,Directed,edit,P17,1.0,2.0
Neo-Jay,Sebleouf,Directed,edit,P17,1.0,2.0
Sebleouf,Neo-Jay,Directed,edit,P17,1.0,2.0
Neo-Jay,1857a,Directed,edit,P17,1.0,2.0
1857a,ערן,Directed,edit,P17,1.0,2.0
ערן,Neo-Jay,Directed,edit,P17,1.0,2.0
Neo-Jay,Roberpl,Directed,edit,P17,1.0,2.0
Roberpl,Neo-Jay,Directed,edit,P17,1.0,2.0
Neo-Jay,M2k~dewiki,Directed,edit,P17,1.0,2.0
M2k~dewiki,Dhx1,Directed,edit,P17,1.0,2.0
Dhx1,JXB-IM,Directed,edit,P17,1.0,2.0
JXB-IM,Epìdosis,Directed,edit,P17,1.0,2.0
Epìdosis,Sun8908,Directed,edit,P17,1.0,2.0
Sun8908,2001:4C4C:1EF5:AB00:F8C1:67A:80C9:5D5C,Directed,edit,P17,1.0,2.0
2001:4C4C:1EF5:AB00:F8C1:67A:80C9:5D5C,Epìdosis,Directed,edit,P17,1.0,2.0
Epìdosis,Jarould,Directed,edit,P17,2.0,3.0
Neo-Jay,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Jake Park,Directed,edit,P1120,1.0,2.0
Jake Park,Efly,Directed,edit,P1120,1.0,2.0
Efly,علاء,Directed,edit,P1120,1.0,2.0
علاء,2A02:2F09:9219:4100:A873:CD20:2A06:C504,Directed,edit,P1120,1.0,2.0
2A02:2F09:9219:4100:A873:CD20:2A06:C504,187.160.250.242,Directed,edit,P1120,1.0,2.0
187.160.250.242,Golopența20,Directed,edit,P1120,1.0,2.0
Golopența20,Ajimenez07,Directed,edit,P1120,1.0,2.0
Ajimenez07,2A02:2F09:9219:4100:81F6:ECF9:20B7:94DB,Directed,edit,P1120,1.0,2.0
2A02:2F09:9219:4100:81F6:ECF9:20B7:94DB,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Jaumellecha,Directed,edit,P1120,1.0,2.0
Jaumellecha,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,5.14.98.162,Directed,edit,P1120,1.0,2.0
5.14.98.162,Wostr,Directed,edit,P1120,1.0,2.0
Wostr,Jeblad,Directed,edit,P1120,1.0,2.0
Jeblad,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,212.171.197.101,Directed,edit,P1120,1.0,2.0
212.171.197.101,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Jeblad,Directed,edit,P1120,1.0,2.0
Jeblad,187.160.250.242,Directed,edit,P1120,1.0,2.0
187.160.250.242,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,193.151.31.248,Directed,edit,P1120,1.0,2.0
193.151.31.248,Succu,Directed,edit,P1120,1.0,2.0
Succu,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Jeblad,Directed,edit,P1120,1.0,2.0
Jeblad,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,185.197.245.128,Directed,edit,P1120,1.0,2.0
185.197.245.128,Nvrandow,Directed,edit,P1120,1.0,2.0
Nvrandow,Venca24,Directed,edit,P1120,1.0,2.0
Venca24,Jeblad,Directed,edit,P1120,1.0,2.0
Jeblad,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,KlaudiuMihaila,Directed,edit,P1120,1.0,2.0
KlaudiuMihaila,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,80.22.92.116,Directed,edit,P1120,1.0,2.0
80.22.92.116,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,194.116.26.4,Directed,edit,P1120,1.0,2.0
194.116.26.4,Cbliu,Directed,edit,P1120,1.0,2.0
Cbliu,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,151.52.148.181,Directed,edit,P1120,1.0,2.0
151.52.148.181,علاء,Directed,edit,P1120,1.0,2.0
علاء,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,ZZARZY223,Directed,edit,P1120,1.0,2.0
ZZARZY223,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,ZZARZY223,Directed,edit,P1120,1.0,2.0
ZZARZY223,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,ZZARZY223,Directed,edit,P1120,1.0,2.0
ZZARZY223,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,HelpingYouToKnowMore,Directed,edit,P1120,1.0,2.0
HelpingYouToKnowMore,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,ZZARZY223,Directed,edit,P1120,1.0,2.0
ZZARZY223,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,87.0.167.130,Directed,edit,P1120,1.0,2.0
87.0.167.130,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Eulenspiegel1,Directed,edit,P1120,1.0,2.0
Eulenspiegel1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Mohanad,Directed,edit,P1120,1.0,2.0
Mohanad,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,80.58.165.11,Directed,edit,P1120,1.0,2.0
80.58.165.11,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,95.237.33.83,Directed,edit,P1120,1.0,2.0
95.237.33.83,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,116.48.25.163,Directed,edit,P1120,1.0,2.0
116.48.25.163,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Mohanad,Directed,edit,P1120,1.0,2.0
Mohanad,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Lofhi,Directed,edit,P1120,1.0,2.0
Lofhi,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,TiagoLubiana,Directed,edit,P1120,1.0,2.0
TiagoLubiana,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Zhenqinli,Directed,edit,P1120,1.0,2.0
Zhenqinli,So9q,Directed,edit,P1120,1.0,2.0
So9q,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,2A02:2788:1024:CC0:2966:F6FC:143C:6004,Directed,edit,P1120,1.0,2.0
2A02:2788:1024:CC0:2966:F6FC:143C:6004,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,117.211.214.201,Directed,edit,P1120,1.0,2.0
117.211.214.201,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Directed,edit,P1120,1.0,2.0
2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Epìdosis,Directed,edit,P1120,1.0,2.0
Epìdosis,Julián L. Páez,Directed,edit,P1120,1.0,2.0
Julián L. Páez,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Athozus,Directed,edit,P1120,1.0,2.0
Athozus,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,وسام,Directed,edit,P1120,1.0,2.0
وسام,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Premeditated,Directed,edit,P1120,1.0,2.0
Premeditated,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Pietadè,Directed,edit,P1120,1.0,2.0
Pietadè,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Sun8908,Directed,edit,P1120,1.0,2.0
Sun8908,105.107.214.147,Directed,edit,P1120,1.0,2.0
105.107.214.147,Sun8908,Directed,edit,P1120,1.0,2.0
Sun8908,MatSuBot,Directed,edit,P1120,1.0,2.0
MatSuBot,Sun8908,Directed,edit,P1120,1.0,2.0
Sun8908,KrBot,Directed,edit,P1120,1.0,2.0
KrBot,Sun8908,Directed,edit,P1120,1.0,2.0
Sun8908,KrBot,Directed,edit,P1120,1.0,2.0
KrBot,Sun8908,Directed,edit,P1120,1.0,2.0
Sun8908,KrBot,Directed,edit,P1120,1.0,2.0
KrBot,Sun8908,Directed,edit,P1120,1.0,2.0
Sun8908,KrBot,Directed,edit,P1120,1.0,2.0
KrBot,Sun8908,Directed,edit,P1120,1.0,2.0
Sun8908,KrBot,Directed,edit,P1120,1.0,2.0
KrBot,Sun8908,Directed,edit,P1120,1.0,2.0
Sun8908,47.232.133.199,Directed,edit,P1120,1.0,2.0
47.232.133.199,-sasha-,Directed,edit,P1120,1.0,2.0
-sasha-,Davidpar,Directed,edit,P1120,1.0,2.0
Davidpar,Sun8908,Directed,edit,P1120,1.0,2.0
Sun8908,Llywelyn2000,Directed,edit,P1120,1.0,2.0
Llywelyn2000,DeltaBot,Directed,edit,P1120,1.0,2.0
DeltaBot,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,4ing,Directed,edit,P1120,1.0,2.0
4ing,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Julián L. Páez,Directed,edit,P1120,1.0,2.0
Julián L. Páez,Bassel Elgohary,Directed,edit,P1120,1.0,2.0
Bassel Elgohary,Dhx1,Directed,edit,P1120,1.0,2.0
Dhx1,Bassel Elgohary,Directed,edit,P1120,1.0,2.0
Bassel Elgohary,Les Meloures,Directed,edit,P1120,1.0,2.0
Les Meloures,Shiro D. Neko,Directed,edit,P1120,1.0,2.0
Shiro D. Neko,Asav,Directed,edit,P1120,1.0,2.0
Asav,99of9,Directed,edit,P1120,2.0,3.0
99of9,Tholme,Directed,edit,P1120,2.0,3.0
Tholme,GZWDer,Directed,delete,P1120,3.0,4.0
Zhenqinli,Frettie,Directed,edit,P828,1.0,2.0
Frettie,Eltetelar12,Directed,edit,P828,1.0,2.0
Eltetelar12,Sun8908,Directed,edit,P828,1.0,2.0
舞月書生,HapHaxion,Directed,delete,P131,1.0,2.0
Bouzinac,Arbnos,Directed,create,P276,1.0,2.0
Arbnos,HapHaxion,Directed,delete,P276,1.0,2.0
HapHaxion,Arbnos,Directed,create,P276,1.0,2.0
Arbnos,Succu,Directed,delete,P276,1.0,2.0
Succu,Arbnos,Directed,create,P276,1.0,2.0
Arbnos,Trade,Directed,edit,P276,1.0,2.0
Trade,BohemianRhapsody,Directed,delete,P276,1.0,2.0
BohemianRhapsody,Tmv,Directed,create,P276,1.0,2.0
Tmv,2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Directed,edit,P276,1.0,2.0
2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Epìdosis,Directed,edit,P276,1.0,2.0
Bouzinac,Supaplex,Directed,edit,P1427,1.0,2.0
Supaplex,Dhx1,Directed,edit,P1427,1.0,2.0
Dhx1,Sun8908,Directed,edit,P1427,1.0,2.0
Efly,Neo-Jay,Directed,edit,P373,1.0,2.0
Neo-Jay,Newone,Directed,edit,P373,1.0,2.0
Newone,Frodar,Directed,edit,P373,1.0,2.0
Frodar,Neo-Jay,Directed,edit,P373,1.0,2.0
Osteologia,LLs,Directed,edit,P18,1.0,2.0
LLs,Cbliu,Directed,delete,P18,1.0,2.0
Cbliu,Arbnos,Directed,create,P18,1.0,2.0
Arbnos,D2513850,Directed,edit,P18,1.0,2.0
D2513850,Nvrandow,Directed,delete,P18,1.0,2.0
Nvrandow,Jeblad,Directed,create,P18,1.0,2.0
Jeblad,唐吉訶德的侍從,Directed,delete,P18,1.0,2.0
唐吉訶德的侍從,Kaliforniyka,Directed,edit,P18,1.0,2.0
Kaliforniyka,Triggerhippie4,Directed,delete,P18,1.0,2.0
Triggerhippie4,92.169.205.34,Directed,edit,P18,1.0,2.0
92.169.205.34,Desoda,Directed,edit,P18,1.0,2.0
Desoda,LLs,Directed,edit,P18,1.0,2.0
LLs,WTM,Directed,edit,P18,1.0,2.0
WTM,Infovarius,Directed,edit,P18,1.0,2.0
Infovarius,Sdkb,Directed,edit,P18,1.0,2.0
Sdkb,ŠJů,Directed,edit,P18,1.0,2.0
ŠJů,Wolverène,Directed,edit,P18,1.0,2.0
Wolverène,ŠJů,Directed,edit,P18,1.0,2.0
ŠJů,104.7.153.230,Directed,edit,P18,1.0,2.0
104.7.153.230,DanielAlba15,Directed,edit,P18,1.0,2.0
DanielAlba15,KrBot,Directed,edit,P18,1.0,2.0
KrBot,80.63.56.230,Directed,delete,P18,1.0,2.0
80.63.56.230,Sdkb,Directed,create,P18,1.0,2.0
Sdkb,Desoda,Directed,edit,P18,1.0,2.0
Desoda,4ing,Directed,edit,P18,1.0,2.0
4ing,Casanova50,Directed,edit,P18,1.0,2.0
Casanova50,Adam Harangozó,Directed,edit,P18,2.0,3.0
Adam Harangozó,Christmas Wreath,Directed,edit,P18,2.0,3.0
Cbliu,LLs,Directed,edit,P242,1.0,2.0
LLs,Xabi22,Directed,edit,P242,1.0,2.0
