Id,label,created_predicates
-sasha-,-sasha-,0
103.136.251.3,103.136.251.3,0
103.220.77.24,103.220.77.24,0
104.7.153.230,104.7.153.230,0
105.107.214.147,105.107.214.147,0
105.159.2.2,105.159.2.2,0
108.56.130.85,108.56.130.85,0
112.119.86.240,112.119.86.240,0
112.79.112.86,112.79.112.86,1
116.48.25.163,116.48.25.163,0
117.211.214.201,117.211.214.201,0
151.52.148.181,151.52.148.181,0
151.53.152.90,151.53.152.90,0
151.9.5.215,151.9.5.215,0
168.234.201.162,168.234.201.162,0
185.197.245.128,185.197.245.128,0
1857a,1857a,0
187.160.250.242,187.160.250.242,0
187.189.148.55,187.189.148.55,0
193.151.31.248,193.151.31.248,0
194.116.26.4,194.116.26.4,0
195.58.13.217,195.58.13.217,0
200.211.11.2,200.211.11.2,0
2001:1970:55DA:3F00:B5EC:99F6:494A:2E8A,2001:1970:55DA:3F00:B5EC:99F6:494A:2E8A,0
2001:4C4C:1EF5:AB00:F8C1:67A:80C9:5D5C,2001:4C4C:1EF5:AB00:F8C1:67A:80C9:5D5C,0
2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,0
2003:E8:BF24:2A5A:EDC1:C1F:699:C165,2003:E8:BF24:2A5A:EDC1:C1F:699:C165,0
212.171.197.101,212.171.197.101,0
213.60.84.17,213.60.84.17,0
24.47.198.150,24.47.198.150,0
240E:390:5611:11B0:848B:36AB:3DB9:C0C8,240E:390:5611:11B0:848B:36AB:3DB9:C0C8,0
2600:8807:9200:E9:DBF:763A:FBE0:6420,2600:8807:9200:E9:DBF:763A:FBE0:6420,0
2A02:2788:1024:CC0:2966:F6FC:143C:6004,2A02:2788:1024:CC0:2966:F6FC:143C:6004,0
2A02:2F09:9219:4100:81F6:ECF9:20B7:94DB,2A02:2F09:9219:4100:81F6:ECF9:20B7:94DB,0
2A02:2F09:9219:4100:A873:CD20:2A06:C504,2A02:2F09:9219:4100:A873:CD20:2A06:C504,0
37.124.135.233,37.124.135.233,0
37.163.62.179,37.163.62.179,0
47.232.133.199,47.232.133.199,0
49.182.23.133,49.182.23.133,0
4ing,4ing,0
5.14.98.162,5.14.98.162,0
58.182.83.199,58.182.83.199,0
78.94.13.251,78.94.13.251,0
80.22.92.116,80.22.92.116,0
80.58.165.11,80.58.165.11,0
80.63.56.230,80.63.56.230,0
81.35.48.190,81.35.48.190,0
83.54.26.61,83.54.26.61,0
86.164.235.33,86.164.235.33,0
87.0.167.130,87.0.167.130,0
90.244.204.15,90.244.204.15,0
92.169.205.34,92.169.205.34,0
94.190.201.202,94.190.201.202,0
95.237.33.83,95.237.33.83,0
99.87.202.180,99.87.202.180,0
99of9,99of9,0
AGbot,AGbot,1
Adam Harangozó,Adam Harangozó,1
Adert,Adert,0
Ajimenez07,Ajimenez07,0
Alan ffm,Alan ffm,1
Allenwang6212a,Allenwang6212a,0
Amadalvarez,Amadalvarez,0
Ameisenigel,Ameisenigel,1
Angelillo2026,Angelillo2026,1
Angelillo28,Angelillo28,1
Arbnos,Arbnos,5
Asav,Asav,0
Athozus,Athozus,0
Awinkler3,Awinkler3,1
Azertus,Azertus,0
Baidax,Baidax,1
Bassel Elgohary,Bassel Elgohary,0
Bjs,Bjs,0
BohemianRhapsody,BohemianRhapsody,0
Bouzinac,Bouzinac,2
C7002593,C7002593,1
Casanova50,Casanova50,0
Cbliu,Cbliu,1
Charp238,Charp238,2
Chchowmein,Chchowmein,0
ChristianKl,ChristianKl,0
Christmas Wreath,Christmas Wreath,0
Codas,Codas,0
Culex,Culex,1
D2513850,D2513850,0
Daniel Mietchen,Daniel Mietchen,0
DanielAlba15,DanielAlba15,0
Davidpar,Davidpar,0
Dcflyer,Dcflyer,2
DeltaBot,DeltaBot,1
Desoda,Desoda,0
Dhx1,Dhx1,4
Don-vip,Don-vip,0
Doostdar,Doostdar,0
Edgars2007,Edgars2007,1
Efly,Efly,1
Egon Willighagen,Egon Willighagen,1
Eihel,Eihel,1
ElmarG,ElmarG,1
Eltetelar12,Eltetelar12,0
Epìdosis,Epìdosis,0
Eulenspiegel1,Eulenspiegel1,0
FallingGravity,FallingGravity,0
Fnielsen,Fnielsen,0
Frettie,Frettie,1
Frodar,Frodar,0
GZWDer,GZWDer,0
Geagea,Geagea,1
Golopența20,Golopența20,0
Haansn08,Haansn08,0
Hanif Al Husaini,Hanif Al Husaini,0
HapHaxion,HapHaxion,0
HelpingYouToKnowMore,HelpingYouToKnowMore,0
Horcrux,Horcrux,0
Huntster,Huntster,0
Infovarius,Infovarius,0
IngeniousBot,IngeniousBot,0
Ivan A. Krestinin,Ivan A. Krestinin,0
Iwan.Aucamp,Iwan.Aucamp,0
J 1982,J 1982,1
JXB-IM,JXB-IM,0
Jake Park,Jake Park,0
Jarould,Jarould,0
Jaumellecha,Jaumellecha,0
Jeanjung212,Jeanjung212,18
Jeblad,Jeblad,3
Jimmy Olano,Jimmy Olano,0
Jodi.a.schneider,Jodi.a.schneider,0
JohnShaoWJ,JohnShaoWJ,0
Jordirooca,Jordirooca,0
Julián L. Páez,Julián L. Páez,0
Kaliforniyka,Kaliforniyka,0
KlaudiuMihaila,KlaudiuMihaila,0
Kolja21,Kolja21,0
KonstantinaG07,KonstantinaG07,0
KrBot,KrBot,0
LLs,LLs,0
Lemondoge,Lemondoge,0
Leonprimer,Leonprimer,1
Les Meloures,Les Meloures,0
Llywelyn2000,Llywelyn2000,0
Lockal,Lockal,0
Lofhi,Lofhi,0
Lymantria,Lymantria,0
M2k~dewiki,M2k~dewiki,0
Marchitelli,Marchitelli,0
MatSuBot,MatSuBot,0
Matlin,Matlin,0
Mikani,Mikani,1
Mith,Mith,0
Mohanad,Mohanad,0
Mr. Ibrahem,Mr. Ibrahem,1
Mr.Ibrahembot,Mr.Ibrahembot,0
NMaia,NMaia,1
Naypta,Naypta,0
Neo-Jay,Neo-Jay,13
Newone,Newone,0
Nintendofan885,Nintendofan885,1
NoclaimsBot,NoclaimsBot,1
Nvrandow,Nvrandow,0
OsamaK,OsamaK,0
Osteologia,Osteologia,1
Pacostein,Pacostein,3
Peaceray,Peaceray,0
Pi bot,Pi bot,1
Pietadè,Pietadè,0
Premeditated,Premeditated,1
Pyb en résidence,Pyb en résidence,0
Raphaël Dunant,Raphaël Dunant,0
Reclus,Reclus,1
Reinheitsgebot,Reinheitsgebot,1
Research Bot,Research Bot,0
Roberpl,Roberpl,0
Robins7,Robins7,0
Saabzy,Saabzy,0
Salgo60,Salgo60,2
Sdkb,Sdkb,1
Sebleouf,Sebleouf,0
Shiro D. Neko,Shiro D. Neko,0
So9q,So9q,0
Soufiyouns,Soufiyouns,1
Spinster,Spinster,1
Steenthbot,Steenthbot,0
Succu,Succu,0
Sun8908,Sun8908,0
Supaplex,Supaplex,1
Susmuffin,Susmuffin,0
Swpb,Swpb,0
Tarnumg,Tarnumg,0
Theklan,Theklan,0
Tholme,Tholme,0
TiagoLubiana,TiagoLubiana,1
Tmv,Tmv,1
Toghrul R,Toghrul R,0
Trade,Trade,1
Triggerhippie4,Triggerhippie4,6
Trivialist,Trivialist,1
U0008355,U0008355,0
Venca24,Venca24,0
WTM,WTM,0
Wd-Ryan,Wd-Ryan,4
Wolverène,Wolverène,0
Wostr,Wostr,0
Wurgl,Wurgl,1
Xabi22,Xabi22,0
Yupik,Yupik,1
Z7504,Z7504,0
ZZARZY223,ZZARZY223,1
Zhenqinli,Zhenqinli,2
Zzme123,Zzme123,0
ŠJů,ŠJů,0
Шкурба Андрій Вікторович,Шкурба Андрій Вікторович,1
טבעת-זרם,טבעת-זרם,0
ערן,ערן,0
علاء,علاء,0
وسام,وسام,0
唐吉訶德的侍從,唐吉訶德的侍從,1
舞月書生,舞月書生,3
