Source,Target,interaction_type,predicate,revision_id
Legobot,VIAFbot,edit,P107,37132483
VIAFbot,Dexbot,delete,P107,75825554
Legobot,VIAFbot,edit,P21,49560172
VIAFbot,SamoaBot,edit,P21,53067307
SamoaBot,Lildee1224,edit,P21,72706306
Lildee1224,Dɐ,edit,P21,99699039
Dɐ,PLbot,edit,P21,120577224
PLbot,Jklamo,edit,P21,164087476
Jklamo,189.133.212.97,edit,P21,224141190
189.133.212.97,Rippitippi,edit,P21,224141309
Rippitippi,189.238.87.174,edit,P21,224581773
189.238.87.174,בורה בורה,edit,P21,224804720
בורה בורה,Jura1,edit,P21,224822479
Jura1,187.214.65.233,edit,P21,225545887
187.214.65.233,Nikki,edit,P21,225545961
Nikki,63.141.204.129,edit,P21,282085331
63.141.204.129,Arpyia,edit,P21,282085446
Arpyia,Wylve,edit,P21,421959279
Wylve,208.94.131.73,edit,P21,679486358
208.94.131.73,Galobtter,edit,P21,679488906
Galobtter,169.139.8.212,edit,P21,682725604
169.139.8.212,Galobtter,edit,P21,682732140
Galobtter,ايمو کي ڀڄايو,edit,P21,2142020306
ايمو کي ڀڄايو,EpidòseosBot,edit,P21,2195334993
EpidòseosBot,DifoolBot,edit,P21,2258149702
BotMultichill,205.137.32.52,edit,P373,200934891
205.137.32.52,Jklamo,edit,P373,200946405
Jklamo,187.214.65.233,edit,P373,225546370
187.214.65.233,Nikki,edit,P373,225546420
Nikki,174.46.208.241,edit,P373,245680483
174.46.208.241,FallingGravity,edit,P373,245695964
FallingGravity,201.155.248.153,edit,P373,247649908
201.155.248.153,FallingGravity,edit,P373,247875100
FallingGravity,142.227.221.245,edit,P373,254134401
142.227.221.245,Jared Preston,edit,P373,254141897
Jared Preston,165.155.212.81,edit,P373,255374564
165.155.212.81,Nikki,edit,P373,255390337
Nikki,201.143.117.54,edit,P373,255647106
201.143.117.54,Jared Preston,edit,P373,255649364
Jared Preston,72.10.122.97,edit,P373,258771079
72.10.122.97,Nikki,edit,P373,258780834
Nikki,173.225.1.51,edit,P373,262785198
173.225.1.51,MusikAnimal,edit,P373,262786899
MusikAnimal,63.141.204.129,edit,P373,282084683
63.141.204.129,Arpyia,edit,P373,282085446
Arpyia,187.211.243.16,edit,P373,296384195
187.211.243.16,WTM,edit,P373,296405132
WTM,Lebrun Jemz,edit,P373,296977628
Lebrun Jemz,Jared Preston,edit,P373,296978502
Jared Preston,Tom2818,delete,P373,326722209
Haplology,201.110.195.142,edit,P373,329549376
201.110.195.142,Jared Preston,edit,P373,329555420
Jared Preston,Camulogene77,delete,P373,406775258
VIAFbot,SamoaBot,edit,P214,41945129
SamoaBot,VIAFbot,edit,P214,45133770
VIAFbot,165.155.212.81,edit,P214,255374657
165.155.212.81,Nikki,edit,P214,255390337
Nikki,Jura1,edit,P214,403952438
Jura1,Triggerhippie4,edit,P214,403955675
Triggerhippie4,Jura1,edit,P214,404338102
Jura1,Komischn,edit,P214,407359205
Komischn,Jura1,edit,P214,407366928
Jura1,Triggerhippie4,edit,P214,434402878
Triggerhippie4,Jura1,edit,P214,434424226
Jura1,KrBot,edit,P214,558306525
VIAFbot,Tom2818,delete,P213,326722220
Haplology,MsynBot,edit,P213,940674031
MsynBot,KrBot,edit,P213,2037988984
ViscoBot,187.189.248.69,edit,P27,225526558
187.189.248.69,Jura1,edit,P27,225530768
Jura1,187.214.65.233,edit,P27,225545364
187.214.65.233,Nikki,edit,P27,225545673
Nikki,187.173.138.158,edit,P27,244403764
187.173.138.158,FallingGravity,edit,P27,244428215
FallingGravity,173.225.1.51,edit,P27,262785870
173.225.1.51,MusikAnimal,edit,P27,262786899
MusikAnimal,63.141.204.129,edit,P27,282084667
63.141.204.129,Arpyia,edit,P27,282085446
Arpyia,64.140.244.2,edit,P27,291046666
64.140.244.2,FallingGravity,edit,P27,291062843
FallingGravity,206.71.232.66,edit,P27,296977378
206.71.232.66,Jared Preston,edit,P27,296978822
Jared Preston,ChristianKl,edit,P27,385589760
ChristianKl,Proud User,edit,P27,390203728
Proud User,181.28.29.3,edit,P27,482957109
