Id,label,created_predicates
1914 Josef,1914 Josef,1
99of9,99of9,1
Adam Harangozó,Adam Harangozó,1
AdamSeattle,AdamSeattle,1
Alessandra Boccone,Alessandra Boccone,1
AliciaFagervingWMSE-bot,AliciaFagervingWMSE-bot,1
Amadalvarez,Amadalvarez,1
Ameisenigel,Ameisenigel,1
Animalparty,Animalparty,2
Apurarazul,Apurarazul,1
Arch2all,Arch2all,1
Arlo Barnes,Arlo Barnes,2
Armurdo,Armurdo,4
Awinkler3,Awinkler3,1
Azertus,Azertus,1
Back ache,Back ache,1
Bargioni,Bargioni,3
Birk Weiberg,Birk Weiberg,1
Bodhisattwa,Bodhisattwa,1
BotMultichill,BotMultichill,2
Botcrux,Botcrux,1
BrokenSegue,BrokenSegue,4
Btcprox,Btcprox,2
Canley,Canley,2
CennoxX,CennoxX,1
Choboty,Choboty,1
Chuq,Chuq,1
Daieuxetdailleurs,Daieuxetdailleurs,1
Danrok,Danrok,2
Dcflyer,Dcflyer,2
Dexbot,Dexbot,1
Dhx1,Dhx1,1
Dre Rock,Dre Rock,1
Ecravo,Ecravo,1
Edoardo88,Edoardo88,1
Edward,Edward,1
Einar Myre,Einar Myre,1
Entbert,Entbert,1
Epìdosis,Epìdosis,7
F705i,F705i,1
FallingGravity,FallingGravity,1
Frettie,Frettie,1
Frlgin,Frlgin,3
Fuzheado,Fuzheado,1
GZWDer,GZWDer,1
GerardM,GerardM,1
Germartin1,Germartin1,1
GreenComputer,GreenComputer,1
Gymel,Gymel,1
HCShannon,HCShannon,4
Hamuli,Hamuli,1
Harmonia Amanda,Harmonia Amanda,1
Havoc Crow,Havoc Crow,2
Helgi-S,Helgi-S,1
Hroptatyr,Hroptatyr,1
Infovarius,Infovarius,3
Ionenlaser,Ionenlaser,1
Janitoalevic,Janitoalevic,1
Jared Preston,Jared Preston,1
Jarekt,Jarekt,1
Jeanjung212,Jeanjung212,16
Jeluang Terluang,Jeluang Terluang,1
JnpoJuwan,JnpoJuwan,2
Joao4669,Joao4669,2
Johnson524,Johnson524,1
Johshh,Johshh,1
Jorgedelatc,Jorgedelatc,1
Josve05a,Josve05a,2
Jura1,Jura1,16
KLBot2,KLBot2,2
KRLS Bot,KRLS Bot,1
Kam Solusar,Kam Solusar,1
Kareyac,Kareyac,2
Kayakgamey,Kayakgamey,1
Kcx36,Kcx36,1
Kirilloparma,Kirilloparma,1
Legobot,Legobot,3
Lewis Hulbert,Lewis Hulbert,1
Lieutcoluseng,Lieutcoluseng,1
Lockal,Lockal,3
Lovelano,Lovelano,1
LydiaPintscher,LydiaPintscher,1
M2k~dewiki,M2k~dewiki,1
MSMST1543,MSMST1543,1
Magnus Manske,Magnus Manske,2
Mariogoods,Mariogoods,1
MarrickLip,MarrickLip,10
Matlin,Matlin,6
Matthias Winkelmann,Matthias Winkelmann,3
Maxlath,Maxlath,1
Midleading,Midleading,3
Minak,Minak,1
MineoBot,MineoBot,1
Miraclepine,Miraclepine,1
Mivmunfdgg234556,Mivmunfdgg234556,54
Mr. Ibrahem,Mr. Ibrahem,1
MrProperLawAndOrder,MrProperLawAndOrder,1
Mutante,Mutante,2
Mwtoews,Mwtoews,1
Mykhal,Mykhal,1
Nicewels,Nicewels,2
Nikosguard,Nikosguard,1
Nintendofan885,Nintendofan885,3
Obscuraa,Obscuraa,1
Ogmios,Ogmios,1
Ohtashinichiro,Ohtashinichiro,2
Oravrattas,Oravrattas,1
PLbot,PLbot,3
PaSova,PaSova,1
